"Step","leafy-bee-11 - epoch_time","leafy-bee-11 - epoch_time__MIN","leafy-bee-11 - epoch_time__MAX","valiant-wood-10 - epoch_time","valiant-wood-10 - epoch_time__MIN","valiant-wood-10 - epoch_time__MAX","skilled-river-9 - epoch_time","skilled-river-9 - epoch_time__MIN","skilled-river-9 - epoch_time__MAX","breezy-sea-7 - epoch_time","breezy-sea-7 - epoch_time__MIN","breezy-sea-7 - epoch_time__MAX","morning-mountain-5 - epoch_time","morning-mountain-5 - epoch_time__MIN","morning-mountain-5 - epoch_time__MAX","wandering-music-4 - epoch_time","wandering-music-4 - epoch_time__MIN","wandering-music-4 - epoch_time__MAX","stoic-sound-3 - epoch_time","stoic-sound-3 - epoch_time__MIN","stoic-sound-3 - epoch_time__MAX"
"0","99.67949676513672","99.67949676513672","99.67949676513672","100.19931244850159","100.19931244850159","100.19931244850159","322.5623400211334","322.5623400211334","322.5623400211334","1706.8856890201569","1706.8856890201569","1706.8856890201569","342.6199834346771","342.6199834346771","342.6199834346771","314.8133215904236","314.8133215904236","314.8133215904236","315.8205258846283","315.8205258846283","315.8205258846283"
"1","92.16579341888428","92.16579341888428","92.16579341888428","92.43918037414551","92.43918037414551","92.43918037414551","298.49472880363464","298.49472880363464","298.49472880363464","693.1580646038055","693.1580646038055","693.1580646038055","325.34983563423157","325.34983563423157","325.34983563423157","302.63187527656555","302.63187527656555","302.63187527656555","301.5895552635193","301.5895552635193","301.5895552635193"
"2","92.59514117240906","92.59514117240906","92.59514117240906","92.73539781570435","92.73539781570435","92.73539781570435","323.2006371021271","323.2006371021271","323.2006371021271","296.9509027004242","296.9509027004242","296.9509027004242","319.0594081878662","319.0594081878662","319.0594081878662","309.66809272766113","309.66809272766113","309.66809272766113","296.0150501728058","296.0150501728058","296.0150501728058"
"3","93.66309762001038","93.66309762001038","93.66309762001038","93.13595128059387","93.13595128059387","93.13595128059387","320.3593053817749","320.3593053817749","320.3593053817749","302.19788336753845","302.19788336753845","302.19788336753845","318.20114946365356","318.20114946365356","318.20114946365356","306.09375834465027","306.09375834465027","306.09375834465027","299.0857524871826","299.0857524871826","299.0857524871826"
"4","93.36509943008423","93.36509943008423","93.36509943008423","92.98344874382019","92.98344874382019","92.98344874382019","309.1917381286621","309.1917381286621","309.1917381286621","309.49638509750366","309.49638509750366","309.49638509750366","317.31614995002747","317.31614995002747","317.31614995002747","314.1853971481323","314.1853971481323","314.1853971481323","304.0630009174347","304.0630009174347","304.0630009174347"
"5","94.7417004108429","94.7417004108429","94.7417004108429","92.55308103561401","92.55308103561401","92.55308103561401","304.007581949234","304.007581949234","304.007581949234","294.8906624317169","294.8906624317169","294.8906624317169","314.41176867485046","314.41176867485046","314.41176867485046","335.6650414466858","335.6650414466858","335.6650414466858","306.3811721801758","306.3811721801758","306.3811721801758"
"6","92.3810977935791","92.3810977935791","92.3810977935791","92.95857787132263","92.95857787132263","92.95857787132263","301.8233382701874","301.8233382701874","301.8233382701874","300.02127480506897","300.02127480506897","300.02127480506897","327.0834264755249","327.0834264755249","327.0834264755249","340.3761432170868","340.3761432170868","340.3761432170868","299.19382882118225","299.19382882118225","299.19382882118225"
"7","92.30407643318176","92.30407643318176","92.30407643318176","93.74338269233704","93.74338269233704","93.74338269233704","296.4311943054199","296.4311943054199","296.4311943054199","304.5166003704071","304.5166003704071","304.5166003704071","325.77655363082886","325.77655363082886","325.77655363082886","304.94810485839844","304.94810485839844","304.94810485839844","301.0704081058502","301.0704081058502","301.0704081058502"
"8","92.39634132385254","92.39634132385254","92.39634132385254","99.20399570465088","99.20399570465088","99.20399570465088","303.00144481658936","303.00144481658936","303.00144481658936","316.23857021331787","316.23857021331787","316.23857021331787","334.6323447227478","334.6323447227478","334.6323447227478","314.7356858253479","314.7356858253479","314.7356858253479","293.96977639198303","293.96977639198303","293.96977639198303"
"9","93.55413603782654","93.55413603782654","93.55413603782654","92.57275366783142","92.57275366783142","92.57275366783142","318.03104424476624","318.03104424476624","318.03104424476624","304.07821345329285","304.07821345329285","304.07821345329285","316.5505223274231","316.5505223274231","316.5505223274231","299.78745889663696","299.78745889663696","299.78745889663696","297.23672819137573","297.23672819137573","297.23672819137573"
