"Step","leafy-bee-11 - train-top5-acc","leafy-bee-11 - train-top5-acc__MIN","leafy-bee-11 - train-top5-acc__MAX","valiant-wood-10 - train-top5-acc","valiant-wood-10 - train-top5-acc__MIN","valiant-wood-10 - train-top5-acc__MAX","skilled-river-9 - train-top5-acc","skilled-river-9 - train-top5-acc__MIN","skilled-river-9 - train-top5-acc__MAX","breezy-sea-7 - train-top5-acc","breezy-sea-7 - train-top5-acc__MIN","breezy-sea-7 - train-top5-acc__MAX","morning-mountain-5 - train-top5-acc","morning-mountain-5 - train-top5-acc__MIN","morning-mountain-5 - train-top5-acc__MAX","wandering-music-4 - train-top5-acc","wandering-music-4 - train-top5-acc__MIN","wandering-music-4 - train-top5-acc__MAX","stoic-sound-3 - train-top5-acc","stoic-sound-3 - train-top5-acc__MIN","stoic-sound-3 - train-top5-acc__MAX"
"0","96.2673089443109","96.2673089443109","96.2673089443109","95.09128668369391","95.09128668369391","95.09128668369391","94.3088629306891","94.3088629306891","94.3088629306891","94.07223432491988","94.07223432491988","94.07223432491988","93.57127654246794","93.57127654246794","93.57127654246794","91.41000600961539","91.41000600961539","91.41000600961539","86.5314190204327","86.5314190204327","86.5314190204327"
"1","96.23272235576923","96.23272235576923","96.23272235576923","95.10083320813301","95.10083320813301","95.10083320813301","94.29806440304488","94.29806440304488","94.29806440304488","93.97739508213141","93.97739508213141","93.97739508213141","93.51955316005609","93.51955316005609","93.51955316005609","91.42260429186699","91.42260429186699","91.42260429186699","86.67805989583333","86.67805989583333","86.67805989583333"
"2","95.9037585136218","95.9037585136218","95.9037585136218","94.64322603665866","94.64322603665866","94.64322603665866","93.63700671073718","93.63700671073718","93.63700671073718","93.39114458133012","93.39114458133012","93.39114458133012","92.9294683994391","92.9294683994391","92.9294683994391","90.56443434495192","90.56443434495192","90.56443434495192","85.90627817007211","85.90627817007211","85.90627817007211"
"3","95.88216145833333","95.88216145833333","95.88216145833333","94.67922112880609","94.67922112880609","94.67922112880609","93.66384652944711","93.66384652944711","93.66384652944711","93.38018955328526","93.38018955328526","93.38018955328526","92.938232421875","92.938232421875","92.938232421875","90.71451822916667","90.71451822916667","90.71451822916667","86.03797325721153","86.03797325721153","86.03797325721153"
"4","96.00861378205128","96.00861378205128","96.00861378205128","94.78791065705128","94.78791065705128","94.78791065705128","93.94499949919872","93.94499949919872","93.94499949919872","93.7351324619391","93.7351324619391","93.7351324619391","93.23472243088942","93.23472243088942","93.23472243088942","91.11586350661058","91.11586350661058","91.11586350661058","86.77548139523238","86.77548139523238","86.77548139523238"
"5","95.8972637469952","95.8972637469952","95.8972637469952","94.67006585536859","94.67006585536859","94.67006585536859","93.8850598457532","93.8850598457532","93.8850598457532","93.55257474459134","93.55257474459134","93.55257474459134","93.0530254657452","93.0530254657452","93.0530254657452","90.91421274038461","90.91421274038461","90.91421274038461","86.56858786558493","86.56858786558493","86.56858786558493"
"6","96.3112073066907","96.3112073066907","96.3112073066907","95.27267064803686","95.27267064803686","95.27267064803686","94.61536896534456","94.61536896534456","94.61536896534456","94.3473620292468","94.3473620292468","94.3473620292468","93.91776842948718","93.91776842948718","93.91776842948718","92.04586713741988","92.04586713741988","92.04586713741988","88.28406700721153","88.28406700721153","88.28406700721153"
"7","96.35283641326122","96.35283641326122","96.35283641326122","95.28526893028847","95.28526893028847","95.28526893028847","94.57733936798878","94.57733936798878","94.57733936798878","94.41817846053686","94.41817846053686","94.41817846053686","93.98514185196314","93.98514185196314","93.98514185196314","92.1490009014423","92.1490009014423","92.1490009014423","88.46294696514423","88.46294696514423","88.46294696514423"
"8","96.28186348157051","96.28186348157051","96.28186348157051","95.22877228565706","95.22877228565706","95.22877228565706","94.57827837039262","94.57827837039262","94.57827837039262","94.36019506209936","94.36019506209936","94.36019506209936","93.93420097155449","93.93420097155449","93.93420097155449","92.11402306189903","92.11402306189903","92.11402306189903","88.5711669921875","88.5711669921875","88.5711669921875"
"9","96.23726086738782","96.23726086738782","96.23726086738782","95.12016100761218","95.12016100761218","95.12016100761218","94.6006579276843","94.6006579276843","94.6006579276843","94.31441869491186","94.31441869491186","94.31441869491186","93.89601487379808","93.89601487379808","93.89601487379808","92.08397498497597","92.08397498497597","92.08397498497597","88.58423477564102","88.58423477564102","88.58423477564102"
