"Step","lyric-serenity-11 - epoch_time","lyric-serenity-11 - epoch_time__MIN","lyric-serenity-11 - epoch_time__MAX","generous-sound-8 - epoch_time","generous-sound-8 - epoch_time__MIN","generous-sound-8 - epoch_time__MAX","serene-cloud-7 - epoch_time","serene-cloud-7 - epoch_time__MIN","serene-cloud-7 - epoch_time__MAX","hearty-universe-6 - epoch_time","hearty-universe-6 - epoch_time__MIN","hearty-universe-6 - epoch_time__MAX","hopeful-sun-5 - epoch_time","hopeful-sun-5 - epoch_time__MIN","hopeful-sun-5 - epoch_time__MAX","generous-cherry-4 - epoch_time","generous-cherry-4 - epoch_time__MIN","generous-cherry-4 - epoch_time__MAX"
"14","308.11024713516235","308.11024713516235","308.11024713516235","301.2587490081787","301.2587490081787","301.2587490081787","301.7112126350403","301.7112126350403","301.7112126350403","","","","306.89521884918213","306.89521884918213","306.89521884918213","385.84089398384094","385.84089398384094","385.84089398384094"
"15","310.82691740989685","310.82691740989685","310.82691740989685","300.60845971107483","300.60845971107483","300.60845971107483","305.3836452960968","305.3836452960968","305.3836452960968","","","","300.4481291770935","300.4481291770935","300.4481291770935","351.65098309516907","351.65098309516907","351.65098309516907"
"16","310.5545530319214","310.5545530319214","310.5545530319214","294.2934002876282","294.2934002876282","294.2934002876282","314.21733927726746","314.21733927726746","314.21733927726746","","","","293.20682096481323","293.20682096481323","293.20682096481323","342.0142033100128","342.0142033100128","342.0142033100128"
"17","306.12680864334106","306.12680864334106","306.12680864334106","293.44341111183167","293.44341111183167","293.44341111183167","299.4082188606262","299.4082188606262","299.4082188606262","","","","306.09657049179077","306.09657049179077","306.09657049179077","301.1487777233124","301.1487777233124","301.1487777233124"
"18","310.71044850349426","310.71044850349426","310.71044850349426","311.4895284175873","311.4895284175873","311.4895284175873","304.27250576019287","304.27250576019287","304.27250576019287","","","","312.6555006504059","312.6555006504059","312.6555006504059","399.63948011398315","399.63948011398315","399.63948011398315"
"19","302.24964570999146","302.24964570999146","302.24964570999146","295.36685061454773","295.36685061454773","295.36685061454773","308.5879273414612","308.5879273414612","308.5879273414612","","","","314.7644946575165","314.7644946575165","314.7644946575165","311.1917550563812","311.1917550563812","311.1917550563812"
"20","296.4690692424774","296.4690692424774","296.4690692424774","303.0325379371643","303.0325379371643","303.0325379371643","302.643093585968","302.643093585968","302.643093585968","","","","309.00978565216064","309.00978565216064","309.00978565216064","301.21657824516296","301.21657824516296","301.21657824516296"
"21","301.13052201271057","301.13052201271057","301.13052201271057","303.644633769989","303.644633769989","303.644633769989","302.65137362480164","302.65137362480164","302.65137362480164","","","","301.3381655216217","301.3381655216217","301.3381655216217","298.8828065395355","298.8828065395355","298.8828065395355"
"22","297.98498463630676","297.98498463630676","297.98498463630676","299.7075526714325","299.7075526714325","299.7075526714325","313.4016411304474","313.4016411304474","313.4016411304474","","","","305.0319678783417","305.0319678783417","305.0319678783417","304.61085844039917","304.61085844039917","304.61085844039917"
"23","297.4391829967499","297.4391829967499","297.4391829967499","303.8378782272339","303.8378782272339","303.8378782272339","295.9954972267151","295.9954972267151","295.9954972267151","","","","305.8686146736145","305.8686146736145","305.8686146736145","291.5287780761719","291.5287780761719","291.5287780761719"
"24","304.49834752082825","304.49834752082825","304.49834752082825","305.087824344635","305.087824344635","305.087824344635","298.981787443161","298.981787443161","298.981787443161","","","","304.8399782180786","304.8399782180786","304.8399782180786","303.72375226020813","303.72375226020813","303.72375226020813"
"25","303.0363395214081","303.0363395214081","303.0363395214081","290.67496252059937","290.67496252059937","290.67496252059937","313.90580344200134","313.90580344200134","313.90580344200134","","","","294.2180247306824","294.2180247306824","294.2180247306824","304.4613153934479","304.4613153934479","304.4613153934479"
"26","301.73579955101013","301.73579955101013","301.73579955101013","310.49023485183716","310.49023485183716","310.49023485183716","","","","","","","307.05575489997864","307.05575489997864","307.05575489997864","303.2325294017792","303.2325294017792","303.2325294017792"
"27","305.45469093322754","305.45469093322754","305.45469093322754","309.23698592185974","309.23698592185974","309.23698592185974","","","","","","","325.41185426712036","325.41185426712036","325.41185426712036","308.56000328063965","308.56000328063965","308.56000328063965"
"28","314.29094099998474","314.29094099998474","314.29094099998474","314.6236801147461","314.6236801147461","314.6236801147461","","","","","","","312.80292296409607","312.80292296409607","312.80292296409607","308.9316689968109","308.9316689968109","308.9316689968109"
"29","315.11391735076904","315.11391735076904","315.11391735076904","309.402218580246","309.402218580246","309.402218580246","","","","","","","303.1209125518799","303.1209125518799","303.1209125518799","301.31861329078674","301.31861329078674","301.31861329078674"
"30","326.2943067550659","326.2943067550659","326.2943067550659","303.20718932151794","303.20718932151794","303.20718932151794","","","","","","","306.40164709091187","306.40164709091187","306.40164709091187","312.58482933044434","312.58482933044434","312.58482933044434"
"31","322.64978408813477","322.64978408813477","322.64978408813477","312.3776264190674","312.3776264190674","312.3776264190674","","","","","","","301.07730650901794","301.07730650901794","301.07730650901794","298.22558212280273","298.22558212280273","298.22558212280273"
"32","307.0997176170349","307.0997176170349","307.0997176170349","321.52788496017456","321.52788496017456","321.52788496017456","","","","","","","319.5642592906952","319.5642592906952","319.5642592906952","302.7663197517395","302.7663197517395","302.7663197517395"
"33","308.55115938186646","308.55115938186646","308.55115938186646","302.7540166378021","302.7540166378021","302.7540166378021","","","","","","","318.3888761997223","318.3888761997223","318.3888761997223","","",""
