"Step","lyric-serenity-11 - train-top1-acc","lyric-serenity-11 - train-top1-acc__MIN","lyric-serenity-11 - train-top1-acc__MAX","generous-sound-8 - train-top1-acc","generous-sound-8 - train-top1-acc__MIN","generous-sound-8 - train-top1-acc__MAX","serene-cloud-7 - train-top1-acc","serene-cloud-7 - train-top1-acc__MIN","serene-cloud-7 - train-top1-acc__MAX","hearty-universe-6 - train-top1-acc","hearty-universe-6 - train-top1-acc__MIN","hearty-universe-6 - train-top1-acc__MAX","hopeful-sun-5 - train-top1-acc","hopeful-sun-5 - train-top1-acc__MIN","hopeful-sun-5 - train-top1-acc__MAX","generous-cherry-4 - train-top1-acc","generous-cherry-4 - train-top1-acc__MIN","generous-cherry-4 - train-top1-acc__MAX"
"0","86.31701347155449","86.31701347155449","86.31701347155449","86.31701347155449","86.31701347155449","86.31701347155449","84.47476900540866","84.47476900540866","84.47476900540866","83.59265449719551","83.59265449719551","83.59265449719551","80.54042718349359","80.54042718349359","80.54042718349359","71.69525928986378","71.69525928986378","71.69525928986378"
"1","86.08108911758814","86.08108911758814","86.08108911758814","86.08108911758814","86.08108911758814","86.08108911758814","84.20770107171474","84.20770107171474","84.20770107171474","83.43028533153044","83.43028533153044","83.43028533153044","80.47070625500801","80.47070625500801","80.47070625500801","71.92108936798878","71.92108936798878","71.92108936798878"
"2","84.83972793970352","84.83972793970352","84.83972793970352","84.83972793970352","84.83972793970352","84.83972793970352","82.82611553485577","82.82611553485577","82.82611553485577","82.1201422275641","82.1201422275641","82.1201422275641","79.06298515124199","79.06298515124199","79.06298515124199","71.18976299579327","71.18976299579327","71.18976299579327"
"3","84.81648763020833","84.81648763020833","84.81648763020833","84.81648763020833","84.81648763020833","84.81648763020833","82.72219926883012","82.72219926883012","82.72219926883012","82.01153094951923","82.01153094951923","82.01153094951923","79.08990322015224","79.08990322015224","79.08990322015224","71.34344638922276","71.34344638922276","71.34344638922276"
"4","85.4435064853766","85.4435064853766","85.4435064853766","85.4435064853766","85.4435064853766","85.4435064853766","83.5483648838141","83.5483648838141","83.5483648838141","82.80843098958333","82.80843098958333","82.80843098958333","79.82475085136218","79.82475085136218","79.82475085136218","72.53065842848558","72.53065842848558","72.53065842848558"
"5","84.86993251702724","84.86993251702724","84.86993251702724","84.86993251702724","84.86993251702724","84.86993251702724","82.99271021133814","82.99271021133814","82.99271021133814","82.28384164663461","82.28384164663461","82.28384164663461","79.33490459735577","79.33490459735577","79.33490459735577","72.36703725961539","72.36703725961539","72.36703725961539"
"6","86.78870567908653","86.78870567908653","86.78870567908653","86.78870567908653","86.78870567908653","86.78870567908653","84.9365234375","84.9365234375","84.9365234375","84.2189691005609","84.2189691005609","84.2189691005609","81.24780899439102","81.24780899439102","81.24780899439102","74.63198930789262","74.63198930789262","74.63198930789262"
"7","86.96069961939102","86.96069961939102","86.96069961939102","86.96069961939102","86.96069961939102","86.96069961939102","85.11712489983974","85.11712489983974","85.11712489983974","84.27726549979968","84.27726549979968","84.27726549979968","81.41080416165866","81.41080416165866","81.41080416165866","75.07449419070512","75.07449419070512","75.07449419070512"
"8","86.79825220352564","86.79825220352564","86.79825220352564","86.79825220352564","86.79825220352564","86.79825220352564","85.0146953876202","85.0146953876202","85.0146953876202","84.24580891927083","84.24580891927083","84.24580891927083","81.4129169170673","81.4129169170673","81.4129169170673","75.24461012620192","75.24461012620192","75.24461012620192"
"9","86.54941656650641","86.54941656650641","86.54941656650641","86.54941656650641","86.54941656650641","86.54941656650641","84.75819123096956","84.75819123096956","84.75819123096956","84.05542618189102","84.05542618189102","84.05542618189102","81.2884990985577","81.2884990985577","81.2884990985577","75.4192645733173","75.4192645733173","75.4192645733173"
"10","87.554931640625","87.554931640625","87.554931640625","87.554931640625","87.554931640625","87.554931640625","85.76331505408653","85.76331505408653","85.76331505408653","","","","82.29706593048878","82.29706593048878","82.29706593048878","76.66860727163461","76.66860727163461","76.66860727163461"
"11","87.19192896133814","87.19192896133814","87.19192896133814","87.19192896133814","87.19192896133814","87.19192896133814","85.1810553135016","85.1810553135016","85.1810553135016","","","","81.82537372295673","81.82537372295673","81.82537372295673","76.4404296875","76.4404296875","76.4404296875"
"12","86.25089205228366","86.25089205228366","86.25089205228366","86.25089205228366","86.25089205228366","86.25089205228366","84.38439002403847","84.38439002403847","84.38439002403847","","","","80.89842184995993","80.89842184995993","80.89842184995993","75.6717779697516","75.6717779697516","75.6717779697516"
"13","87.67629770132211","87.67629770132211","87.67629770132211","87.67629770132211","87.67629770132211","87.67629770132211","85.9382825020032","85.9382825020032","85.9382825020032","","","","82.45607033754007","82.45607033754007","82.45607033754007","77.46151655148238","77.46151655148238","77.46151655148238"
"14","86.6607666015625","86.6607666015625","86.6607666015625","86.6607666015625","86.6607666015625","86.6607666015625","84.87916604066507","84.87916604066507","84.87916604066507","","","","81.41988118489583","81.41988118489583","81.41988118489583","76.55091897035257","76.55091897035257","76.55091897035257"
"15","85.89336688701923","85.89336688701923","85.89336688701923","85.89336688701923","85.89336688701923","85.89336688701923","84.14142315204327","84.14142315204327","84.14142315204327","","","","80.80193935296474","80.80193935296474","80.80193935296474","76.1009020683093","76.1009020683093","76.1009020683093"
"16","87.3138427734375","87.3138427734375","87.3138427734375","87.3138427734375","87.3138427734375","87.3138427734375","85.65094776642628","85.65094776642628","85.65094776642628","","","","82.29526617588141","82.29526617588141","82.29526617588141","77.81442495492789","77.81442495492789","77.81442495492789"
"17","86.8797106620593","86.8797106620593","86.8797106620593","86.8797106620593","86.8797106620593","86.8797106620593","85.23809970953526","85.23809970953526","85.23809970953526","","","","81.92647298177083","81.92647298177083","81.92647298177083","77.5642590645032","77.5642590645032","77.5642590645032"
"18","86.63244002904648","86.63244002904648","86.63244002904648","86.63244002904648","86.63244002904648","86.63244002904648","84.90240635016026","84.90240635016026","84.90240635016026","","","","81.67896759815706","81.67896759815706","81.67896759815706","77.36534705528847","77.36534705528847","77.36534705528847"
"19","87.95103415464743","87.95103415464743","87.95103415464743","87.95103415464743","87.95103415464743","87.95103415464743","86.37984838241186","86.37984838241186","86.37984838241186","","","","83.19561298076923","83.19561298076923","83.19561298076923","79.10070174779648","79.10070174779648","79.10070174779648"
