"Step","lyric-serenity-11 - loss","lyric-serenity-11 - loss__MIN","lyric-serenity-11 - loss__MAX","generous-sound-8 - loss","generous-sound-8 - loss__MIN","generous-sound-8 - loss__MAX","serene-cloud-7 - loss","serene-cloud-7 - loss__MIN","serene-cloud-7 - loss__MAX","hearty-universe-6 - loss","hearty-universe-6 - loss__MIN","hearty-universe-6 - loss__MAX","hopeful-sun-5 - loss","hopeful-sun-5 - loss__MIN","hopeful-sun-5 - loss__MAX","generous-cherry-4 - loss","generous-cherry-4 - loss__MIN","generous-cherry-4 - loss__MAX"
"10","1.8320942043493955","1.8320942043493955","1.8320942043493955","1.8320942043493955","1.8320942043493955","1.8320942043493955","1.9343803547895873","1.9343803547895873","1.9343803547895873","","","","2.1373667816321054","2.1373667816321054","2.1373667816321054","2.4490207808139997","2.4490207808139997","2.4490207808139997"
"11","1.8802402913570404","1.8802402913570404","1.8802402913570404","1.8802402913570404","1.8802402913570404","1.8802402913570404","1.9939311723678539","1.9939311723678539","1.9939311723678539","","","","2.19997932551763","2.19997932551763","2.19997932551763","2.5119604720519138","2.5119604720519138","2.5119604720519138"
"12","1.901591996733959","1.901591996733959","1.901591996733959","1.901591996733959","1.901591996733959","1.901591996733959","2.0077919092697973","2.0077919092697973","2.0077919092697973","","","","2.2211814725246186","2.2211814725246186","2.2211814725246186","2.5399093681421037","2.5399093681421037","2.5399093681421037"
"13","1.8782486808605683","1.8782486808605683","1.8782486808605683","1.8782486808605683","1.8782486808605683","1.8782486808605683","1.9775220086941352","1.9775220086941352","1.9775220086941352","","","","2.18293335269659","2.18293335269659","2.18293335269659","2.478546749322842","2.478546749322842","2.478546749322842"
"14","1.8909516090001814","1.8909516090001814","1.8909516090001814","1.8909516090001814","1.8909516090001814","1.8909516090001814","1.992431831283447","1.992431831283447","1.992431831283447","","","","2.2041748632223177","2.2041748632223177","2.2041748632223177","2.506749160396747","2.506749160396747","2.506749160396747"
"15","1.9120695273845623","1.9120695273845623","1.9120695273845623","1.9120695273845623","1.9120695273845623","1.9120695273845623","2.014122348565322","2.014122348565322","2.014122348565322","","","","2.2199778789893174","2.2199778789893174","2.2199778789893174","2.52040524322253","2.52040524322253","2.52040524322253"
"16","1.837364252561178","1.837364252561178","1.837364252561178","1.837364252561178","1.837364252561178","1.837364252561178","1.9291846316594343","1.9291846316594343","1.9291846316594343","","","","2.1272217413553824","2.1272217413553824","2.1272217413553824","2.406732420508678","2.406732420508678","2.406732420508678"
"17","1.889415986262835","1.889415986262835","1.889415986262835","1.889415986262835","1.889415986262835","1.889415986262835","1.9858751954176488","1.9858751954176488","1.9858751954176488","","","","2.181380671568406","2.181380671568406","2.181380671568406","2.464176438175715","2.464176438175715","2.464176438175715"
"18","1.8605483709237514","1.8605483709237514","1.8605483709237514","1.8605483709237514","1.8605483709237514","1.8605483709237514","1.958708066588793","1.958708066588793","1.958708066588793","","","","2.1503997085950313","2.1503997085950313","2.1503997085950313","2.4304751150119","2.4304751150119","2.4304751150119"
"19","1.8089468727509181","1.8089468727509181","1.8089468727509181","1.8089468727509181","1.8089468727509181","1.8089468727509181","1.8964044130765474","1.8964044130765474","1.8964044130765474","","","","2.081318747538787","2.081318747538787","2.081318747538787","2.3406225259487448","2.3406225259487448","2.3406225259487448"
"20","1.8418326137157588","1.8418326137157588","1.8418326137157588","1.8418326137157588","1.8418326137157588","1.8418326137157588","1.9314211033857787","1.9314211033857787","1.9314211033857787","","","","2.1145995217256055","2.1145995217256055","2.1145995217256055","2.3768367014634304","2.3768367014634304","2.3768367014634304"
"21","1.796495252312758","1.796495252312758","1.796495252312758","1.796495252312758","1.796495252312758","1.796495252312758","1.8893132901344545","1.8893132901344545","1.8893132901344545","","","","2.07050588230292","2.07050588230292","2.07050588230292","2.31847159182414","2.31847159182414","2.31847159182414"
"22","1.8528722948752916","1.8528722948752916","1.8528722948752916","1.8528722948752916","1.8528722948752916","1.8528722948752916","1.9508058119278688","1.9508058119278688","1.9508058119278688","","","","2.1382937003404665","2.1382937003404665","2.1382937003404665","2.3943591568714533","2.3943591568714533","2.3943591568714533"
"23","1.8259775527776816","1.8259775527776816","1.8259775527776816","1.8259775527776816","1.8259775527776816","1.8259775527776816","1.920253866758102","1.920253866758102","1.920253866758102","","","","2.108096155982751","2.108096155982751","2.108096155982751","2.354932273427645","2.354932273427645","2.354932273427645"
"24","1.8160867175230613","1.8160867175230613","1.8160867175230613","1.8160867175230613","1.8160867175230613","1.8160867175230613","1.9124569319761717","1.9124569319761717","1.9124569319761717","","","","2.092592730736121","2.092592730736121","2.092592730736121","2.3338422060776978","2.3338422060776978","2.3338422060776978"
"25","1.8115331882085555","1.8115331882085555","1.8115331882085555","1.8115331882085555","1.8115331882085555","1.8115331882085555","1.9060398603861148","1.9060398603861148","1.9060398603861148","","","","2.0872243585494847","2.0872243585494847","2.0872243585494847","2.328851390343446","2.328851390343446","2.328851390343446"
"26","1.8864435259348307","1.8864435259348307","1.8864435259348307","1.8864435259348307","1.8864435259348307","1.8864435259348307","","","","","","","2.173015229595013","2.173015229595013","2.173015229595013","2.4237700505898547","2.4237700505898547","2.4237700505898547"
"27","1.8315512576164343","1.8315512576164343","1.8315512576164343","1.8279440120244637","1.8279440120244637","1.8279440120244637","","","","","","","2.1043945734317484","2.1043945734317484","2.1043945734317484","2.336515016662769","2.336515016662769","2.336515016662769"
"28","1.8389068689101782","1.8389068689101782","1.8389068689101782","1.8335697593597264","1.8335697593597264","1.8335697593597264","","","","","","","2.1137205155996175","2.1137205155996175","2.1137205155996175","2.346363215492322","2.346363215492322","2.346363215492322"
"29","1.790924900999436","1.790924900999436","1.790924900999436","1.7888857695536735","1.7888857695536735","1.7888857695536735","","","","","","","2.0487370930421047","2.0487370930421047","2.0487370930421047","2.269388469748008","2.269388469748008","2.269388469748008"
"30","1.821010947609559","1.821010947609559","1.821010947609559","1.819363608574256","1.819363608574256","1.819363608574256","","","","","","","2.0835344917499103","2.0835344917499103","2.0835344917499103","2.3042187988758087","2.3042187988758087","2.3042187988758087"
"31","1.7860970141795964","1.7860970141795964","1.7860970141795964","1.7809002945820491","1.7809002945820491","1.7809002945820491","","","","","","","2.0335107285242815","2.0335107285242815","2.0335107285242815","2.238175114377951","2.238175114377951","2.238175114377951"
"32","1.757512214092108","1.757512214092108","1.757512214092108","1.7533853554572814","1.7533853554572814","1.7533853554572814","","","","","","","2.0033638779169474","2.0033638779169474","2.0033638779169474","2.2032573391229677","2.2032573391229677","2.2032573391229677"
"33","1.8166533257716742","1.8166533257716742","1.8166533257716742","1.8174033191723702","1.8174033191723702","1.8174033191723702","","","","","","","2.0781543942598195","2.0781543942598195","2.0781543942598195","","",""
