"Step","eternal-wind-4 - train-top1-acc","eternal-wind-4 - train-top1-acc__MIN","eternal-wind-4 - train-top1-acc__MAX","warm-meadow-3 - train-top1-acc","warm-meadow-3 - train-top1-acc__MIN","warm-meadow-3 - train-top1-acc__MAX","cerulean-sea-2 - train-top1-acc","cerulean-sea-2 - train-top1-acc__MIN","cerulean-sea-2 - train-top1-acc__MAX"
"0","89.81252817007211","89.81252817007211","89.81252817007211","88.54393592247597","88.54393592247597","88.54393592247597","87.91347405849359","87.91347405849359","87.91347405849359"
"1","89.7090814052484","89.7090814052484","89.7090814052484","88.40167705829327","88.40167705829327","88.40167705829327","87.71823980869391","87.71823980869391","87.71823980869391"
"2","88.4472186748798","88.4472186748798","88.4472186748798","87.09036020132211","87.09036020132211","87.09036020132211","86.53087126903044","86.53087126903044","86.53087126903044"
"3","88.4159185947516","88.4159185947516","88.4159185947516","87.13793632311699","87.13793632311699","87.13793632311699","86.3163092197516","86.3163092197516","86.3163092197516"
"4","88.83510491786859","88.83510491786859","88.83510491786859","87.60344676482372","87.60344676482372","87.60344676482372","87.13402381310097","87.13402381310097","87.13402381310097"
"5","88.20033929286859","88.20033929286859","88.20033929286859","87.09654196714743","87.09654196714743","87.09654196714743","86.52046399238782","86.52046399238782","86.52046399238782"
"6","89.89116962139423","89.89116962139423","89.89116962139423","88.84692069811699","88.84692069811699","88.84692069811699","88.34228515625","88.34228515625","88.34228515625"
"7","89.84961876502403","89.84961876502403","89.84961876502403","88.83518316806891","88.83518316806891","88.83518316806891","88.38743552183493","88.38743552183493","88.38743552183493"
"8","89.81659718048878","89.81659718048878","89.81659718048878","88.77813877203526","88.77813877203526","88.77813877203526","88.37616749298878","88.37616749298878","88.37616749298878"
"9","","","","88.49972455929488","88.49972455929488","88.49972455929488","88.12936636117789","88.12936636117789","88.12936636117789"
"10","","","","89.34200971554488","89.34200971554488","89.34200971554488","89.15225297976762","89.15225297976762","89.15225297976762"
"11","","","","88.98229354467148","88.98229354467148","88.98229354467148","88.68243877704327","88.68243877704327","88.68243877704327"
"12","","","","88.01379081530449","88.01379081530449","88.01379081530449","","",""
"13","","","","89.38309107071314","89.38309107071314","89.38309107071314","","",""
"14","","","","88.31239357972757","88.31239357972757","88.31239357972757","","",""
"15","","","","87.52981332632211","87.52981332632211","87.52981332632211","","",""
"16","","","","89.03026091746794","89.03026091746794","89.03026091746794","","",""
"17","","","","88.5127923427484","88.5127923427484","88.5127923427484","","",""
"18","","","","88.13797388321314","88.13797388321314","88.13797388321314","","",""
"19","","","","89.47417430388622","89.47417430388622","89.47417430388622","","",""
"20","","","","89.31203988882211","89.31203988882211","89.31203988882211","","",""
"21","","","","89.8525140224359","89.8525140224359","89.8525140224359","","",""
"22","","","","89.00592510516827","89.00592510516827","89.00592510516827","","",""
"23","","","","88.56255947015224","88.56255947015224","88.56255947015224","","",""
"24","","","","89.34420072115384","89.34420072115384","89.34420072115384","","",""
"25","","","","88.49808130508814","88.49808130508814","88.49808130508814","","",""
"26","","","","87.68607897636218","87.68607897636218","87.68607897636218","","",""
"27","","","","88.9599139873798","88.9599139873798","88.9599139873798","","",""
"28","","","","88.54017991286058","88.54017991286058","88.54017991286058","","",""
"29","","","","89.10389435596956","89.10389435596956","89.10389435596956","","",""
"30","","","","88.91147711338141","88.91147711338141","88.91147711338141","","",""
"31","","","","90.00251965645032","90.00251965645032","90.00251965645032","","",""
"32","","","","89.654541015625","89.654541015625","89.654541015625","","",""
"33","","","","88.24001214443109","88.24001214443109","88.24001214443109","","",""
"34","","","","88.62156012119391","88.62156012119391","88.62156012119391","","",""
"35","","","","88.6615459735577","88.6615459735577","88.6615459735577","","",""
"36","","","","88.98518880208333","88.98518880208333","88.98518880208333","","",""
"37","","","","88.3007342998798","88.3007342998798","88.3007342998798","","",""
"38","","","","89.27048903245192","89.27048903245192","89.27048903245192","","",""
"39","","","","89.55375475761218","89.55375475761218","89.55375475761218","","",""
"40","","","","87.37080891927083","87.37080891927083","87.37080891927083","","",""
"41","","","","87.63114733573718","87.63114733573718","87.63114733573718","","",""
"42","","","","88.5906512920673","88.5906512920673","88.5906512920673","","",""
"43","","","","87.99939277844551","87.99939277844551","87.99939277844551","","",""
"44","","","","89.6907708583734","89.6907708583734","89.6907708583734","","",""
"45","","","","88.54816143329327","88.54816143329327","88.54816143329327","","",""
"46","","","","88.7581067207532","88.7581067207532","88.7581067207532","","",""
"47","","","","88.29909104567308","88.29909104567308","88.29909104567308","","",""
"48","","","","90.57797162960738","90.57797162960738","90.57797162960738","","",""
"49","","","","88.7493426983173","88.7493426983173","88.7493426983173","","",""
"50","","","","88.31270658052884","88.31270658052884","88.31270658052884","","",""
"51","","","","88.2564446864984","88.2564446864984","88.2564446864984","","",""
"52","","","","89.04544145633012","89.04544145633012","89.04544145633012","","",""
"53","","","","90.04266200921474","90.04266200921474","90.04266200921474","","",""
"54","","","","89.50484838241186","89.50484838241186","89.50484838241186","","",""
"55","","","","88.7859637920673","88.7859637920673","88.7859637920673","","",""
"56","","","","88.41419709034456","88.41419709034456","88.41419709034456","","",""
"57","","","","88.5833740234375","88.5833740234375","88.5833740234375","","",""
"58","","","","88.76507098858173","88.76507098858173","88.76507098858173","","",""
"59","","","","88.97259051983173","88.97259051983173","88.97259051983173","","",""
"60","","","","89.60821689703526","89.60821689703526","89.60821689703526","","",""
"61","","","","88.89214931390224","88.89214931390224","88.89214931390224","","",""
"62","","","","89.9204351963141","89.9204351963141","89.9204351963141","","",""
"63","","","","90.09532439403044","90.09532439403044","90.09532439403044","","",""
"64","","","","89.50023162059294","89.50023162059294","89.50023162059294","","",""
"65","","","","89.35304299379007","89.35304299379007","89.35304299379007","","",""
"66","","","","88.17960298978366","88.17960298978366","88.17960298978366","","",""
"67","","","","89.18144030448718","89.18144030448718","89.18144030448718","","",""
"68","","","","89.97732309194711","89.97732309194711","89.97732309194711","","",""
"69","","","","89.53716571514423","89.53716571514423","89.53716571514423","","",""
"70","","","","88.73870067107372","88.73870067107372","88.73870067107372","","",""
"71","","","","89.02486165364583","89.02486165364583","89.02486165364583","","",""
"72","","","","88.69456755809294","88.69456755809294","88.69456755809294","","",""
"73","","","","87.88546048677884","87.88546048677884","87.88546048677884","","",""
"74","","","","90.3343005058093","90.3343005058093","90.3343005058093","","",""
"75","","","","89.50304862780449","89.50304862780449","89.50304862780449","","",""
