"Step","eternal-wind-4 - loss","eternal-wind-4 - loss__MIN","eternal-wind-4 - loss__MAX","warm-meadow-3 - loss","warm-meadow-3 - loss__MIN","warm-meadow-3 - loss__MAX","cerulean-sea-2 - loss","cerulean-sea-2 - loss__MIN","cerulean-sea-2 - loss__MAX"
"0","1.7091679049608035","1.7091679049608035","1.7091679049608035","1.7898736179639132","1.7898736179639132","1.7898736179639132","1.8125047538525019","1.8125047538525019","1.8125047538525019"
"1","1.713242531968997","1.713242531968997","1.713242531968997","1.793744301566711","1.793744301566711","1.793744301566711","1.815577195240901","1.815577195240901","1.815577195240901"
"2","1.7352872720131507","1.7352872720131507","1.7352872720131507","1.8188044333305113","1.8188044333305113","1.8188044333305113","1.8386322955290477","1.8386322955290477","1.8386322955290477"
"3","1.7800407298864462","1.7800407298864462","1.7800407298864462","1.8617641960199063","1.8617641960199063","1.8617641960199063","1.894764557480812","1.894764557480812","1.894764557480812"
"4","1.7266210970970302","1.7266210970970302","1.7266210970970302","1.8036551284484375","1.8036551284484375","1.8036551284484375","1.8242312727066188","1.8242312727066188","1.8242312727066188"
"5","1.7510527162215648","1.7510527162215648","1.7510527162215648","1.8266434623644903","1.8266434623644903","1.8266434623644903","1.848606492082278","1.848606492082278","1.848606492082278"
"6","1.7393779708788946","1.7393779708788946","1.7393779708788946","1.810646217985031","1.810646217985031","1.810646217985031","1.821034508637893","1.821034508637893","1.821034508637893"
"7","1.686699771728271","1.686699771728271","1.686699771728271","1.7570874629876552","1.7570874629876552","1.7570874629876552","1.7642230548155613","1.7642230548155613","1.7642230548155613"
"8","1.7133150853407688","1.7133150853407688","1.7133150853407688","1.7836256695863528","1.7836256695863528","1.7836256695863528","1.7916557590166728","1.7916557590166728","1.7916557590166728"
"9","","","","1.7975748647481968","1.7975748647481968","1.7975748647481968","1.8048082154530745","1.8048082154530745","1.8048082154530745"
"10","","","","1.7479094014717982","1.7479094014717982","1.7479094014717982","1.7456647069790425","1.7456647069790425","1.7456647069790425"
"11","","","","1.797475021236982","1.797475021236982","1.797475021236982","1.7998838661572871","1.7998838661572871","1.7998838661572871"
"12","","","","1.8151416507286904","1.8151416507286904","1.8151416507286904","","",""
"13","","","","1.7991885049985006","1.7991885049985006","1.7991885049985006","","",""
"14","","","","1.8109992711971967","1.8109992711971967","1.8109992711971967","","",""
"15","","","","1.8284535041222205","1.8284535041222205","1.8284535041222205","","",""
"16","","","","1.7572249984129882","1.7572249984129882","1.7572249984129882","","",""
"17","","","","1.8119405412521117","1.8119405412521117","1.8119405412521117","","",""
"18","","","","1.788759776414969","1.788759776414969","1.788759776414969","","",""
"19","","","","1.7458957001948967","1.7458957001948967","1.7458957001948967","","",""
"20","","","","1.7742000004419913","1.7742000004419913","1.7742000004419913","","",""
"21","","","","1.7423979559769998","1.7423979559769998","1.7423979559769998","","",""
"22","","","","1.7966975642320437","1.7966975642320437","1.7966975642320437","","",""
"23","","","","1.7658736189970603","1.7658736189970603","1.7658736189970603","","",""
"24","","","","1.7642885041542542","1.7642885041542542","1.7642885041542542","","",""
"25","","","","1.7566897872930918","1.7566897872930918","1.7566897872930918","","",""
"26","","","","1.8302407684998634","1.8302407684998634","1.8302407684998634","","",""
"27","","","","1.7822351967677093","1.7822351967677093","1.7822351967677093","","",""
"28","","","","1.7860468167525072","1.7860468167525072","1.7860468167525072","","",""
"29","","","","1.7477874198021033","1.7477874198021033","1.7477874198021033","","",""
"30","","","","1.777655928180768","1.777655928180768","1.777655928180768","","",""
