"Step","eternal-wind-4 - loss","eternal-wind-4 - loss__MIN","eternal-wind-4 - loss__MAX","warm-meadow-3 - loss","warm-meadow-3 - loss__MIN","warm-meadow-3 - loss__MAX","cerulean-sea-2 - loss","cerulean-sea-2 - loss__MIN","cerulean-sea-2 - loss__MAX"
"31","","","","1.7443213149523125","1.7443213149523125","1.7443213149523125","","",""
"32","","","","1.7224716555613737","1.7224716555613737","1.7224716555613737","","",""
"33","","","","1.7780012476902742","1.7780012476902742","1.7780012476902742","","",""
"34","","","","1.7697536112406316","1.7697536112406316","1.7697536112406316","","",""
"35","","","","1.7790280358913617","1.7790280358913617","1.7790280358913617","","",""
"36","","","","1.740907690846003","1.740907690846003","1.740907690846003","","",""
"37","","","","1.7971742092034755","1.7971742092034755","1.7971742092034755","","",""
"38","","","","1.7291716581735856","1.7291716581735856","1.7291716581735856","","",""
"39","","","","1.7457044923152678","1.7457044923152678","1.7457044923152678","","",""
"40","","","","1.804824981169823","1.804824981169823","1.804824981169823","","",""
"41","","","","1.768997216453919","1.768997216453919","1.768997216453919","","",""
"42","","","","1.7841229457885792","1.7841229457885792","1.7841229457885792","","",""
"43","","","","1.818784196789448","1.818784196789448","1.818784196789448","","",""
"44","","","","1.7385142399714544","1.7385142399714544","1.7385142399714544","","",""
"45","","","","1.7829128798001852","1.7829128798001852","1.7829128798001852","","",""
"46","","","","1.752374216532096","1.752374216532096","1.752374216532096","","",""
"47","","","","1.7707272382118764","1.7707272382118764","1.7707272382118764","","",""
"48","","","","1.7020503217593217","1.7020503217593217","1.7020503217593217","","",""
"49","","","","1.766047247327291","1.766047247327291","1.766047247327291","","",""
"50","","","","1.7590907605794759","1.7590907605794759","1.7590907605794759","","",""
"51","","","","1.8273994364799597","1.8273994364799597","1.8273994364799597","","",""
"52","","","","1.7441650678714116","1.7441650678714116","1.7441650678714116","","",""
"53","","","","1.755035882576918","1.755035882576918","1.755035882576918","","",""
"54","","","","1.7368594698416882","1.7368594698416882","1.7368594698416882","","",""
"55","","","","1.7562646766503651","1.7562646766503651","1.7562646766503651","","",""
"56","","","","1.7810772859897368","1.7810772859897368","1.7810772859897368","","",""
"57","","","","1.7637513619966996","1.7637513619966996","1.7637513619966996","","",""
"58","","","","1.801470662156741","1.801470662156741","1.801470662156741","","",""
"59","","","","1.7526370932658513","1.7526370932658513","1.7526370932658513","","",""
"60","","","","1.759410477983646","1.759410477983646","1.759410477983646","","",""
"61","","","","1.7411895050452306","1.7411895050452306","1.7411895050452306","","",""
"62","","","","1.7248241668328261","1.7248241668328261","1.7248241668328261","","",""
"63","","","","1.6901431045471094","1.6901431045471094","1.6901431045471094","","",""
"64","","","","1.720188557337492","1.720188557337492","1.720188557337492","","",""
"65","","","","1.7233409736400995","1.7233409736400995","1.7233409736400995","","",""
"66","","","","1.7596351156632106","1.7596351156632106","1.7596351156632106","","",""
"67","","","","1.7303727299739153","1.7303727299739153","1.7303727299739153","","",""
"68","","","","1.7081373322468538","1.7081373322468538","1.7081373322468538","","",""
"69","","","","1.7165460949524856","1.7165460949524856","1.7165460949524856","","",""
"70","","","","1.7843356602467024","1.7843356602467024","1.7843356602467024","","",""
"71","","","","1.7243863806510582","1.7243863806510582","1.7243863806510582","","",""
"72","","","","1.774468108247488","1.774468108247488","1.774468108247488","","",""
"73","","","","1.8010467757017186","1.8010467757017186","1.8010467757017186","","",""
"74","","","","1.7133459322727644","1.7133459322727644","1.7133459322727644","","",""
"75","","","","1.7178791822531285","1.7178791822531285","1.7178791822531285","","",""
"76","","","","1.7619186104872289","1.7619186104872289","1.7619186104872289","","",""
"77","","","","1.7521190773218105","1.7521190773218105","1.7521190773218105","","",""
"78","","","","1.7545953014722238","1.7545953014722238","1.7545953014722238","","",""
"79","","","","1.7790726576095972","1.7790726576095972","1.7790726576095972","","",""
"80","","","","1.7055582251304235","1.7055582251304235","1.7055582251304235","","",""
"81","","","","1.7191057063830204","1.7191057063830204","1.7191057063830204","","",""
"82","","","","1.7273166485321827","1.7273166485321827","1.7273166485321827","","",""
"83","","","","1.7438741536476674","1.7438741536476674","1.7438741536476674","","",""
"84","","","","1.6897508750359218","1.6897508750359218","1.6897508750359218","","",""
"85","","","","1.7493802033937895","1.7493802033937895","1.7493802033937895","","",""
"86","","","","1.7290315459936092","1.7290315459936092","1.7290315459936092","","",""
"87","","","","1.7444300651550293","1.7444300651550293","1.7444300651550293","","",""
"88","","","","1.766572138437858","1.766572138437858","1.766572138437858","","",""
"89","","","","1.6920754657341883","1.6920754657341883","1.6920754657341883","","",""
"90","","","","1.726900238257188","1.726900238257188","1.726900238257188","","",""
"91","","","","1.7487589927055898","1.7487589927055898","1.7487589927055898","","",""
"92","","","","1.7528805148143034","1.7528805148143034","1.7528805148143034","","",""
"93","","","","1.7381178950652099","1.7381178950652099","1.7381178950652099","","",""
"94","","","","1.7299873867096045","1.7299873867096045","1.7299873867096045","","",""
"95","","","","1.7475922585297854","1.7475922585297854","1.7475922585297854","","",""
"96","","","","1.7778065292499003","1.7778065292499003","1.7778065292499003","","",""
"97","","","","1.7164910095624435","1.7164910095624435","1.7164910095624435","","",""
"98","","","","1.6977366392429059","1.6977366392429059","1.6977366392429059","","",""
"99","","","","1.722728817508771","1.722728817508771","1.722728817508771","","",""
"100","","","","1.7015529901553423","1.7015529901553423","1.7015529901553423","","",""
"101","","","","1.7404926308454611","1.7404926308454611","1.7404926308454611","","",""
"102","","","","1.7455548758690174","1.7455548758690174","1.7455548758690174","","",""
"103","","","","1.698425843547552","1.698425843547552","1.698425843547552","","",""
"104","","","","1.7788580457369487","1.7788580457369487","1.7788580457369487","","",""
"105","","","","1.7399481821518679","1.7399481821518679","1.7399481821518679","","",""
"106","","","","1.7338990569114685","1.7338990569114685","1.7338990569114685","","",""
