"Step","eternal-wind-4 - train-top5-acc","eternal-wind-4 - train-top5-acc__MIN","eternal-wind-4 - train-top5-acc__MAX","warm-meadow-3 - train-top5-acc","warm-meadow-3 - train-top5-acc__MIN","warm-meadow-3 - train-top5-acc__MAX","cerulean-sea-2 - train-top5-acc","cerulean-sea-2 - train-top5-acc__MIN","cerulean-sea-2 - train-top5-acc__MAX"
"0","97.01162484975961","97.01162484975961","97.01162484975961","96.33397811498398","96.33397811498398","96.33397811498398","96.02160331530449","96.02160331530449","96.02160331530449"
"1","96.9944098056891","96.9944098056891","96.9944098056891","96.31738907251602","96.31738907251602","96.31738907251602","96.04132236578526","96.04132236578526","96.04132236578526"
"2","96.74972142928686","96.74972142928686","96.74972142928686","96.0025885166266","96.0025885166266","96.0025885166266","95.72628705929488","95.72628705929488","95.72628705929488"
"3","96.72405536358173","96.72405536358173","96.72405536358173","96.02035131209936","96.02035131209936","96.02035131209936","95.57635967548077","95.57635967548077","95.57635967548077"
"4","96.81396484375","96.81396484375","96.81396484375","96.13897861578526","96.13897861578526","96.13897861578526","95.85735614483173","95.85735614483173","95.85735614483173"
"5","96.69087727864583","96.69087727864583","96.69087727864583","96.04460887419872","96.04460887419872","96.04460887419872","95.74256310096153","95.74256310096153","95.74256310096153"
"6","97.00880784254808","97.00880784254808","97.00880784254808","96.47193321814903","96.47193321814903","96.47193321814903","96.27309945913461","96.27309945913461","96.27309945913461"
"7","97.08377153445512","97.08377153445512","97.08377153445512","96.46512545072116","96.46512545072116","96.46512545072116","96.32709209735577","96.32709209735577","96.32709209735577"
"8","96.99534880809294","96.99534880809294","96.99534880809294","96.43852038261218","96.43852038261218","96.43852038261218","96.27529046474359","96.27529046474359","96.27529046474359"
"9","","","","96.36973845653044","96.36973845653044","96.36973845653044","96.2104992988782","96.2104992988782","96.2104992988782"
"10","","","","96.55245267427884","96.55245267427884","96.55245267427884","96.53922839042468","96.53922839042468","96.53922839042468"
"11","","","","96.4794452373798","96.4794452373798","96.4794452373798","96.3432116386218","96.3432116386218","96.3432116386218"
"12","","","","96.24649439102564","96.24649439102564","96.24649439102564","","",""
"13","","","","96.57107622195512","96.57107622195512","96.57107622195512","","",""
"14","","","","96.34313338842148","96.34313338842148","96.34313338842148","","",""
"15","","","","96.16589668469551","96.16589668469551","96.16589668469551","","",""
"16","","","","96.5465839092548","96.5465839092548","96.5465839092548","","",""
"17","","","","96.41621907552083","96.41621907552083","96.41621907552083","","",""
"18","","","","96.3371081229968","96.3371081229968","96.3371081229968","","",""
"19","","","","96.68860802283653","96.68860802283653","96.68860802283653","","",""
"20","","","","96.64017114883814","96.64017114883814","96.64017114883814","","",""
"21","","","","96.7933850410657","96.7933850410657","96.7933850410657","","",""
"22","","","","96.53766338641827","96.53766338641827","96.53766338641827","","",""
"23","","","","96.49243477063301","96.49243477063301","96.49243477063301","","",""
"24","","","","96.67021922576122","96.67021922576122","96.67021922576122","","",""
"25","","","","96.50949331430289","96.50949331430289","96.50949331430289","","",""
"26","","","","96.2528326572516","96.2528326572516","96.2528326572516","","",""
"27","","","","96.55597393329327","96.55597393329327","96.55597393329327","","",""
"28","","","","96.50949331430289","96.50949331430289","96.50949331430289","","",""
"29","","","","96.60276755308493","96.60276755308493","96.60276755308493","","",""
"30","","","","96.59736828926282","96.59736828926282","96.59736828926282","","",""
"31","","","","96.84769068008814","96.84769068008814","96.84769068008814","","",""
"32","","","","96.74784342447917","96.74784342447917","96.74784342447917","","",""
"33","","","","96.4847662510016","96.4847662510016","96.4847662510016","","",""
"34","","","","96.58766526442308","96.58766526442308","96.58766526442308","","",""
"35","","","","96.56520745693109","96.56520745693109","96.56520745693109","","",""
"36","","","","96.64752666766827","96.64752666766827","96.64752666766827","","",""
"37","","","","96.45323142027243","96.45323142027243","96.45323142027243","","",""
"38","","","","96.6915032802484","96.6915032802484","96.6915032802484","","",""
"39","","","","96.79174178685898","96.79174178685898","96.79174178685898","","",""
"40","","","","96.27849872295673","96.27849872295673","96.27849872295673","","",""
"41","","","","96.39391776842949","96.39391776842949","96.39391776842949","","",""
"42","","","","96.59494253305289","96.59494253305289","96.59494253305289","","",""
"43","","","","96.41974033453526","96.41974033453526","96.41974033453526","","",""
"44","","","","96.84268266726762","96.84268266726762","96.84268266726762","","",""
"45","","","","96.5404803936298","96.5404803936298","96.5404803936298","","",""
"46","","","","96.62099984975961","96.62099984975961","96.62099984975961","","",""
"47","","","","96.51309282351762","96.51309282351762","96.51309282351762","","",""
"48","","","","97.04237717848558","97.04237717848558","97.04237717848558","","",""
"49","","","","96.63195487780449","96.63195487780449","96.63195487780449","","",""
"50","","","","96.57530173277243","96.57530173277243","96.57530173277243","","",""
"51","","","","96.49791228465544","96.49791228465544","96.49791228465544","","",""
"52","","","","96.74510466746794","96.74510466746794","96.74510466746794","","",""
"53","","","","96.9425299228766","96.9425299228766","96.9425299228766","","",""
"54","","","","96.8528551933093","96.8528551933093","96.8528551933093","","",""
"55","","","","96.68555626502403","96.68555626502403","96.68555626502403","","",""
"56","","","","96.59314277844551","96.59314277844551","96.59314277844551","","",""
"57","","","","96.63743239182692","96.63743239182692","96.63743239182692","","",""
"58","","","","96.61004482171474","96.61004482171474","96.61004482171474","","",""
"59","","","","96.7559814453125","96.7559814453125","96.7559814453125","","",""
"60","","","","96.86686197916667","96.86686197916667","96.86686197916667","","",""
"61","","","","96.73258463541667","96.73258463541667","96.73258463541667","","",""
"62","","","","96.91928961338141","96.91928961338141","96.91928961338141","","",""
"63","","","","96.97899451622597","96.97899451622597","96.97899451622597","","",""
"64","","","","96.85308994391026","96.85308994391026","96.85308994391026","","",""
"65","","","","96.82413736979167","96.82413736979167","96.82413736979167","","",""
"66","","","","96.62021734775641","96.62021734775641","96.62021734775641","","",""
"67","","","","96.83102338741988","96.83102338741988","96.83102338741988","","",""
"68","","","","96.98775853866186","96.98775853866186","96.98775853866186","","",""
"69","","","","96.90004006410257","96.90004006410257","96.90004006410257","","",""
"70","","","","96.68336525941507","96.68336525941507","96.68336525941507","","",""
"71","","","","96.79917555588942","96.79917555588942","96.79917555588942","","",""
"72","","","","96.67123647836539","96.67123647836539","96.67123647836539","","",""
"73","","","","96.5297601161859","96.5297601161859","96.5297601161859","","",""
"74","","","","97.04683743990384","97.04683743990384","97.04683743990384","","",""
"75","","","","96.90097906650641","96.90097906650641","96.90097906650641","","",""
"76","","","","96.81200858874199","96.81200858874199","96.81200858874199","","",""
"77","","","","96.73297588641827","96.73297588641827","96.73297588641827","","",""
"78","","","","96.75472944210738","96.75472944210738","96.75472944210738","","",""
"79","","","","96.7628674629407","96.7628674629407","96.7628674629407","","",""
"80","","","","96.89925756209936","96.89925756209936","96.89925756209936","","",""
"81","","","","97.07954602363782","97.07954602363782","97.07954602363782","","",""
"82","","","","96.92883613782051","96.92883613782051","96.92883613782051","","",""
"83","","","","96.80473132011218","96.80473132011218","96.80473132011218","","",""
"84","","","","96.9825940254407","96.9825940254407","96.9825940254407","","",""
"85","","","","96.79878430488782","96.79878430488782","96.79878430488782","","",""
"86","","","","96.90199631911058","96.90199631911058","96.90199631911058","","",""
"87","","","","96.83243189102564","96.83243189102564","96.83243189102564","","",""
"88","","","","96.67303623297276","96.67303623297276","96.67303623297276","","",""
"89","","","","97.05106295072116","97.05106295072116","97.05106295072116","","",""
"90","","","","96.8196771083734","96.8196771083734","96.8196771083734","","",""
