"Step","eternal-wind-4 - epoch_time","eternal-wind-4 - epoch_time__MIN","eternal-wind-4 - epoch_time__MAX","warm-meadow-3 - epoch_time","warm-meadow-3 - epoch_time__MIN","warm-meadow-3 - epoch_time__MAX","cerulean-sea-2 - epoch_time","cerulean-sea-2 - epoch_time__MIN","cerulean-sea-2 - epoch_time__MAX"
"0","93.11926794052124","93.11926794052124","93.11926794052124","98.99021506309509","98.99021506309509","98.99021506309509","313.8571674823761","313.8571674823761","313.8571674823761"
"1","96.98719382286072","96.98719382286072","96.98719382286072","94.39838361740112","94.39838361740112","94.39838361740112","291.3984236717224","291.3984236717224","291.3984236717224"
"2","92.11874008178711","92.11874008178711","92.11874008178711","93.56008744239807","93.56008744239807","93.56008744239807","302.905241727829","302.905241727829","302.905241727829"
"3","94.00284218788147","94.00284218788147","94.00284218788147","94.39082551002502","94.39082551002502","94.39082551002502","305.6889169216156","305.6889169216156","305.6889169216156"
"4","93.68375611305237","93.68375611305237","93.68375611305237","99.32234954833984","99.32234954833984","99.32234954833984","311.71657633781433","311.71657633781433","311.71657633781433"
"5","92.09309601783752","92.09309601783752","92.09309601783752","92.61127924919128","92.61127924919128","92.61127924919128","310.5109312534332","310.5109312534332","310.5109312534332"
"6","92.39324235916138","92.39324235916138","92.39324235916138","95.89621925354004","95.89621925354004","95.89621925354004","313.1917655467987","313.1917655467987","313.1917655467987"
"7","92.5847692489624","92.5847692489624","92.5847692489624","93.26494097709656","93.26494097709656","93.26494097709656","314.6087441444397","314.6087441444397","314.6087441444397"
"8","92.63758182525635","92.63758182525635","92.63758182525635","95.60931658744812","95.60931658744812","95.60931658744812","300.09561586380005","300.09561586380005","300.09561586380005"
"9","","","","94.10186719894409","94.10186719894409","94.10186719894409","306.47911500930786","306.47911500930786","306.47911500930786"
"10","","","","96.16933751106262","96.16933751106262","96.16933751106262","312.7666485309601","312.7666485309601","312.7666485309601"
"11","","","","93.44256234169006","93.44256234169006","93.44256234169006","306.65632152557373","306.65632152557373","306.65632152557373"
"12","","","","93.1431565284729","93.1431565284729","93.1431565284729","","",""
"13","","","","93.4003164768219","93.4003164768219","93.4003164768219","","",""
"14","","","","94.70991659164429","94.70991659164429","94.70991659164429","","",""
"15","","","","96.31015372276306","96.31015372276306","96.31015372276306","","",""
"16","","","","94.47822833061218","94.47822833061218","94.47822833061218","","",""
"17","","","","92.7723159790039","92.7723159790039","92.7723159790039","","",""
"18","","","","99.02297449111938","99.02297449111938","99.02297449111938","","",""
"19","","","","93.61121273040771","93.61121273040771","93.61121273040771","","",""
"20","","","","96.4144606590271","96.4144606590271","96.4144606590271","","",""
"21","","","","95.64737582206726","95.64737582206726","95.64737582206726","","",""
"22","","","","92.6930763721466","92.6930763721466","92.6930763721466","","",""
"23","","","","94.6581699848175","94.6581699848175","94.6581699848175","","",""
"24","","","","95.1236503124237","95.1236503124237","95.1236503124237","","",""
"25","","","","95.9671242237091","95.9671242237091","95.9671242237091","","",""
"26","","","","100.19977259635925","100.19977259635925","100.19977259635925","","",""
"27","","","","92.440514087677","92.440514087677","92.440514087677","","",""
"28","","","","94.18658137321472","94.18658137321472","94.18658137321472","","",""
"29","","","","93.0341866016388","93.0341866016388","93.0341866016388","","",""
"30","","","","93.16964983940125","93.16964983940125","93.16964983940125","","",""
"31","","","","98.82622075080872","98.82622075080872","98.82622075080872","","",""
"32","","","","92.89774823188782","92.89774823188782","92.89774823188782","","",""
"33","","","","92.87745523452759","92.87745523452759","92.87745523452759","","",""
"34","","","","93.47414493560791","93.47414493560791","93.47414493560791","","",""
"35","","","","93.89776635169983","93.89776635169983","93.89776635169983","","",""
"36","","","","98.85669684410095","98.85669684410095","98.85669684410095","","",""
"37","","","","93.41166305541992","93.41166305541992","93.41166305541992","","",""
"38","","","","93.75033354759216","93.75033354759216","93.75033354759216","","",""
"39","","","","94.80161356925964","94.80161356925964","94.80161356925964","","",""
"40","","","","97.59684181213379","97.59684181213379","97.59684181213379","","",""
"41","","","","93.30874514579773","93.30874514579773","93.30874514579773","","",""
"42","","","","100.52265334129333","100.52265334129333","100.52265334129333","","",""
"43","","","","92.50780153274536","92.50780153274536","92.50780153274536","","",""
"44","","","","99.49566388130188","99.49566388130188","99.49566388130188","","",""
"45","","","","93.30497550964355","93.30497550964355","93.30497550964355","","",""
"46","","","","94.48373675346375","94.48373675346375","94.48373675346375","","",""
"47","","","","99.31050252914429","99.31050252914429","99.31050252914429","","",""
"48","","","","93.22923874855042","93.22923874855042","93.22923874855042","","",""
"49","","","","93.38512563705444","93.38512563705444","93.38512563705444","","",""
"50","","","","93.96726417541504","93.96726417541504","93.96726417541504","","",""
"51","","","","93.94575428962708","93.94575428962708","93.94575428962708","","",""
"52","","","","96.41027975082397","96.41027975082397","96.41027975082397","","",""
"53","","","","94.91773247718811","94.91773247718811","94.91773247718811","","",""
"54","","","","94.65035367012024","94.65035367012024","94.65035367012024","","",""
"55","","","","94.48036551475525","94.48036551475525","94.48036551475525","","",""
"56","","","","94.94837927818298","94.94837927818298","94.94837927818298","","",""
"57","","","","92.46594882011414","92.46594882011414","92.46594882011414","","",""
"58","","","","100.41475677490234","100.41475677490234","100.41475677490234","","",""
"59","","","","94.61885404586792","94.61885404586792","94.61885404586792","","",""
"60","","","","93.55067992210388","93.55067992210388","93.55067992210388","","",""
"61","","","","94.812016248703","94.812016248703","94.812016248703","","",""
"62","","","","95.95760107040405","95.95760107040405","95.95760107040405","","",""
"63","","","","100.61883211135864","100.61883211135864","100.61883211135864","","",""
"64","","","","93.6636815071106","93.6636815071106","93.6636815071106","","",""
"65","","","","93.81951093673706","93.81951093673706","93.81951093673706","","",""
"66","","","","93.57682609558105","93.57682609558105","93.57682609558105","","",""
"67","","","","92.98383116722107","92.98383116722107","92.98383116722107","","",""
"68","","","","95.30600309371948","95.30600309371948","95.30600309371948","","",""
"69","","","","100.71376633644104","100.71376633644104","100.71376633644104","","",""
"70","","","","93.43249821662903","93.43249821662903","93.43249821662903","","",""
"71","","","","94.64245939254761","94.64245939254761","94.64245939254761","","",""
"72","","","","92.81585121154785","92.81585121154785","92.81585121154785","","",""
"73","","","","93.31483626365662","93.31483626365662","93.31483626365662","","",""
"74","","","","101.64098310470581","101.64098310470581","101.64098310470581","","",""
"75","","","","93.43707656860352","93.43707656860352","93.43707656860352","","",""
"76","","","","93.25858974456787","93.25858974456787","93.25858974456787","","",""
"77","","","","92.87712550163269","92.87712550163269","92.87712550163269","","",""
"78","","","","92.97926712036133","92.97926712036133","92.97926712036133","","",""
"79","","","","102.35634875297546","102.35634875297546","102.35634875297546","","",""
"80","","","","93.79802227020264","93.79802227020264","93.79802227020264","","",""
"81","","","","94.50597667694092","94.50597667694092","94.50597667694092","","",""
"82","","","","92.95981860160828","92.95981860160828","92.95981860160828","","",""
"83","","","","94.24921488761902","94.24921488761902","94.24921488761902","","",""
"84","","","","93.11363554000854","93.11363554000854","93.11363554000854","","",""
"85","","","","103.3104259967804","103.3104259967804","103.3104259967804","","",""
"86","","","","97.67766833305359","97.67766833305359","97.67766833305359","","",""
"87","","","","97.13172221183777","97.13172221183777","97.13172221183777","","",""
"88","","","","95.40308666229248","95.40308666229248","95.40308666229248","","",""
"89","","","","94.1523814201355","94.1523814201355","94.1523814201355","","",""
"90","","","","101.33601951599121","101.33601951599121","101.33601951599121","","",""
"91","","","","93.48480224609375","93.48480224609375","93.48480224609375","","",""
"92","","","","93.28591012954712","93.28591012954712","93.28591012954712","","",""
"93","","","","94.222097158432","94.222097158432","94.222097158432","","",""
"94","","","","93.57339930534363","93.57339930534363","93.57339930534363","","",""
"95","","","","100.01930117607117","100.01930117607117","100.01930117607117","","",""
"96","","","","96.19361686706543","96.19361686706543","96.19361686706543","","",""
"97","","","","94.84045004844666","94.84045004844666","94.84045004844666","","",""
"98","","","","93.72466588020325","93.72466588020325","93.72466588020325","","",""
"99","","","","95.12923336029053","95.12923336029053","95.12923336029053","","",""
"100","","","","93.11471271514893","93.11471271514893","93.11471271514893","","",""
"101","","","","105.31264972686768","105.31264972686768","105.31264972686768","","",""
"102","","","","93.54056239128113","93.54056239128113","93.54056239128113","","",""
"103","","","","93.3875253200531","93.3875253200531","93.3875253200531","","",""
"104","","","","93.33133244514465","93.33133244514465","93.33133244514465","","",""
"105","","","","92.68554615974426","92.68554615974426","92.68554615974426","","",""
"106","","","","103.6081850528717","103.6081850528717","103.6081850528717","","",""
