"Step","dashing-field-5 - loss","dashing-field-5 - loss__MIN","dashing-field-5 - loss__MAX","robust-breeze-3 - loss","robust-breeze-3 - loss__MIN","robust-breeze-3 - loss__MAX","eager-sun-1 - loss","eager-sun-1 - loss__MIN","eager-sun-1 - loss__MAX"
"0","1.813467365426895","1.813467365426895","1.813467365426895","1.9408339433945143","1.9408339433945143","1.9408339433945143","1.9297611289299452","1.9297611289299452","1.9297611289299452"
"1","1.818996399641037","1.818996399641037","1.818996399641037","1.9454957709098473","1.9454957709098473","1.9454957709098473","1.9273560104461818","1.9273560104461818","1.9273560104461818"
"2","1.844738571307598","1.844738571307598","1.844738571307598","1.974748140344253","1.974748140344253","1.974748140344253","1.9624663855020816","1.9624663855020816","1.9624663855020816"
"3","1.8922788680363924","1.8922788680363924","1.8922788680363924","2.0273052832254996","2.0273052832254996","2.0273052832254996","2.030934077424881","2.030934077424881","2.030934077424881"
"4","1.8317584307529988","1.8317584307529988","1.8317584307529988","1.958078220486641","1.958078220486641","1.958078220486641","1.9434581437172034","1.9434581437172034","1.9434581437172034"
"5","1.8578909704318414","1.8578909704318414","1.8578909704318414","1.9866081438003442","1.9866081438003442","1.9866081438003442","","",""
"6","1.8390808323254952","1.8390808323254952","1.8390808323254952","1.962731251731897","1.962731251731897","1.962731251731897","","",""
"7","1.7832033137480419","1.7832033137480419","1.7832033137480419","1.9034000967557614","1.9034000967557614","1.9034000967557614","","",""
"8","1.8103440319880462","1.8103440319880462","1.8103440319880462","1.933727734363996","1.933727734363996","1.933727734363996","","",""
"9","1.8254113961488774","1.8254113961488774","1.8254113961488774","1.949052598613959","1.949052598613959","1.949052598613959","","",""
"10","1.7730156924480047","1.7730156924480047","1.7730156924480047","1.8926100826416261","1.8926100826416261","1.8926100826416261","","",""
"11","1.8284538766512504","1.8284538766512504","1.8284538766512504","1.9509378327773168","1.9509378327773168","1.9509378327773168","","",""
"12","1.846207714615724","1.846207714615724","1.846207714615724","1.973730457898898","1.973730457898898","1.973730457898898","","",""
"13","1.8287714532552621","1.8287714532552621","1.8287714532552621","1.947927930798286","1.947927930798286","1.947927930798286","","",""
"14","1.8425453167695265","1.8425453167695265","1.8425453167695265","1.9661044054306471","1.9661044054306471","1.9661044054306471","","",""
"15","1.8616693035150185","1.8616693035150185","1.8616693035150185","1.9871558581407254","1.9871558581407254","1.9871558581407254","","",""
"16","1.7868614880702434","1.7868614880702434","1.7868614880702434","1.9071579720729437","1.9071579720729437","1.9071579720729437","","",""
"17","1.8474371230755098","1.8474371230755098","1.8474371230755098","1.965896916313049","1.965896916313049","1.965896916313049","","",""
"18","1.8215557703605065","1.8215557703605065","1.8215557703605065","1.942599899493731","1.942599899493731","1.942599899493731","","",""
"19","1.7764794685137577","1.7764794685137577","1.7764794685137577","1.8901401131581037","1.8901401131581037","1.8901401131581037","","",""
"20","1.8071562850322478","1.8071562850322478","1.8071562850322478","1.9216515116202526","1.9216515116202526","1.9216515116202526","","",""
"21","1.7744017533766918","1.7744017533766918","1.7744017533766918","1.8856871678278997","1.8856871678278997","1.8856871678278997","","",""
"22","1.8334653549469435","1.8334653549469435","1.8334653549469435","1.9487979660431545","1.9487979660431545","1.9487979660431545","","",""
"23","1.8031414189399817","1.8031414189399817","1.8031414189399817","1.915397237508725","1.915397237508725","1.915397237508725","","",""
"24","1.7994851447068727","1.7994851447068727","1.7994851447068727","1.9141091165634303","1.9141091165634303","1.9141091165634303","","",""
"25","1.7947229620737908","1.7947229620737908","1.7947229620737908","1.9069158744353514","1.9069158744353514","1.9069158744353514","","",""
"26","1.8726545457656567","1.8726545457656567","1.8726545457656567","1.9904891676627672","1.9904891676627672","1.9904891676627672","","",""
"27","1.8218361276846666","1.8218361276846666","1.8218361276846666","1.932905947168668","1.932905947168668","1.932905947168668","","",""
"28","1.8309431240344658","1.8309431240344658","1.8309431240344658","1.9408608759060884","1.9408608759060884","1.9408608759060884","","",""
"29","1.7868332243882692","1.7868332243882692","1.7868332243882692","1.8928367048501968","1.8928367048501968","1.8928367048501968","","",""
"30","1.8204150295410402","1.8204150295410402","1.8204150295410402","1.9296443790961535","1.9296443790961535","1.9296443790961535","","",""
"31","1.7878636710154705","1.7878636710154705","1.7878636710154705","1.8909344936792667","1.8909344936792667","1.8909344936792667","","",""
"32","1.7634624861753905","1.7634624861753905","1.7634624861753905","1.8626463325359883","1.8626463325359883","1.8626463325359883","","",""
"33","1.824484103001081","1.824484103001081","1.824484103001081","1.9300127839430785","1.9300127839430785","1.9300127839430785","","",""
"34","1.8166796484818826","1.8166796484818826","1.8166796484818826","1.9196981699802937","1.9196981699802937","1.9196981699802937","","",""
"35","1.8278621993003747","1.8278621993003747","1.8278621993003747","1.9301692174795346","1.9301692174795346","1.9301692174795346","","",""
"36","1.7860945826157546","1.7860945826157546","1.7860945826157546","1.8837890468346767","1.8837890468346767","1.8837890468346767","","",""
"37","1.8488754534568541","1.8488754534568541","1.8488754534568541","1.9505669184220142","1.9505669184220142","1.9505669184220142","","",""
"38","1.777311547444417","1.777311547444417","1.777311547444417","1.8722433191843522","1.8722433191843522","1.8722433191843522","","",""
"39","1.7944904172267668","1.7944904172267668","1.7944904172267668","1.8899920697395618","1.8899920697395618","1.8899920697395618","","",""
"40","1.8605886858243208","1.8605886858243208","1.8605886858243208","1.9627893169720967","1.9627893169720967","1.9627893169720967","","",""
"41","1.825046561849423","1.825046561849423","1.825046561849423","1.9197430958350499","1.9197430958350499","1.9197430958350499","","",""
"42","1.8395602760406642","1.8395602760406642","1.8395602760406642","1.9341794554239664","1.9341794554239664","1.9341794554239664","","",""
"43","1.88037381760585","1.88037381760585","1.88037381760585","1.9764729814651685","1.9764729814651685","1.9764729814651685","","",""
"44","","","","1.8784463367401025","1.8784463367401025","1.8784463367401025","","",""
"45","","","","1.930496639166123","1.930496639166123","1.930496639166123","","",""
"46","","","","1.8952235216513658","1.8952235216513658","1.8952235216513658","","",""
"47","","","","1.919955156552486","1.919955156552486","1.919955156552486","","",""
"48","","","","1.8374864420829675","1.8374864420829675","1.8374864420829675","","",""
"49","","","","1.9102467802854686","1.9102467802854686","1.9102467802854686","","",""
"50","","","","1.9078047202947812","1.9078047202947812","1.9078047202947812","","",""
"51","","","","1.9795059577012672","1.9795059577012672","1.9795059577012672","","",""
"52","","","","1.8865264348494701","1.8865264348494701","1.8865264348494701","","",""
"53","","","","1.8938603618970284","1.8938603618970284","1.8938603618970284","","",""
"54","","","","1.876613831672913","1.876613831672913","1.876613831672913","","",""
"55","","","","1.8983135242492726","1.8983135242492726","1.8983135242492726","","",""
"56","","","","1.9272453208000233","1.9272453208000233","1.9272453208000233","","",""
"57","","","","1.906083025993445","1.906083025993445","1.906083025993445","","",""
"58","","","","1.9466870526472728","1.9466870526472728","1.9466870526472728","","",""
"59","","","","1.8925363146341765","1.8925363146341765","1.8925363146341765","","",""
"60","","","","1.8982181545251455","1.8982181545251455","1.8982181545251455","","",""
"61","","","","1.8765568870764513","1.8765568870764513","1.8765568870764513","","",""
"62","","","","1.8553776171727059","1.8553776171727059","1.8553776171727059","","",""
"63","","","","1.8177835165690153","1.8177835165690153","1.8177835165690153","","",""
"64","","","","1.852650529299027","1.852650529299027","1.852650529299027","","",""
"65","","","","1.855966519086789","1.855966519086789","1.855966519086789","","",""
"66","","","","1.9007346056974852","1.9007346056974852","1.9007346056974852","","",""
"67","","","","1.8644040123774455","1.8644040123774455","1.8644040123774455","","",""
"68","","","","1.8352526086263168","1.8352526086263168","1.8352526086263168","","",""
"69","","","","1.847106960339424","1.847106960339424","1.847106960339424","","",""
"70","","","","1.9254724593498769","1.9254724593498769","1.9254724593498769","","",""
"71","","","","1.8573608081310222","1.8573608081310222","1.8573608081310222","","",""
"72","","","","1.9087739636500676","1.9087739636500676","1.9087739636500676","","",""
"73","","","","1.9422176354206526","1.9422176354206526","1.9422176354206526","","",""
"74","","","","1.8366745248054848","1.8366745248054848","1.8366745248054848","","",""
"75","","","","1.8464881284878805","1.8464881284878805","1.8464881284878805","","",""
"76","","","","1.8929406190529847","1.8929406190529847","1.8929406190529847","","",""
"77","","","","1.8851936157697287","1.8851936157697287","1.8851936157697287","","",""
"78","","","","1.885517220848646","1.885517220848646","1.885517220848646","","",""
"79","","","","1.913225450958961","1.913225450958961","1.913225450958961","","",""
"80","","","","1.8286756235055435","1.8286756235055435","1.8286756235055435","","",""
"81","","","","1.8425649102681723","1.8425649102681723","1.8425649102681723","","",""
"82","","","","1.8503800172072191","1.8503800172072191","1.8503800172072191","","",""
"83","","","","1.872431456278532","1.872431456278532","1.872431456278532","","",""
"84","","","","1.8076588610808055","1.8076588610808055","1.8076588610808055","","",""
"85","","","","1.8776366324760976","1.8776366324760976","1.8776366324760976","","",""
"86","","","","1.8512045003664799","1.8512045003664799","1.8512045003664799","","",""
"87","","","","1.8674456828679793","1.8674456828679793","1.8674456828679793","","",""
"88","","","","1.8956578561128714","1.8956578561128714","1.8956578561128714","","",""
"89","","","","1.8082555070137367","1.8082555070137367","1.8082555070137367","","",""
"90","","","","1.8493043642777662","1.8493043642777662","1.8493043642777662","","",""
"91","","","","1.8699016880530577","1.8699016880530577","1.8699016880530577","","",""
"92","","","","1.874392596192849","1.874392596192849","1.874392596192849","","",""
"93","","","","1.8588559383001082","1.8588559383001082","1.8588559383001082","","",""
"94","","","","1.8467217359023216","1.8467217359023216","1.8467217359023216","","",""
"95","","","","1.8689091943013363","1.8689091943013363","1.8689091943013363","","",""
"96","","","","1.9008710732062657","1.9008710732062657","1.9008710732062657","","",""
"97","","","","1.8329457403757634","1.8329457403757634","1.8329457403757634","","",""
"98","","","","1.8085740751180894","1.8085740751180894","1.8085740751180894","","",""
"99","","","","1.835842903990012","1.835842903990012","1.835842903990012","","",""
"100","","","","1.8115862481869185","1.8115862481869185","1.8115862481869185","","",""
"101","","","","1.8576324601203968","1.8576324601203968","1.8576324601203968","","",""
"102","","","","1.8633089837355492","1.8633089837355492","1.8633089837355492","","",""
"103","","","","1.8037540171390924","1.8037540171390924","1.8037540171390924","","",""
"104","","","","1.8958087716347132","1.8958087716347132","1.8958087716347132","","",""
"105","","","","1.8518764021304936","1.8518764021304936","1.8518764021304936","","",""
"106","","","","1.8447407235701878","1.8447407235701878","1.8447407235701878","","",""
"107","","","","1.8181103999033952","1.8181103999033952","1.8181103999033952","","",""
"108","","","","1.8519919140216632","1.8519919140216632","1.8519919140216632","","",""
"109","","","","1.863491022051909","1.863491022051909","1.863491022051909","","",""
