"Step","dashing-field-5 - epoch_time","dashing-field-5 - epoch_time__MIN","dashing-field-5 - epoch_time__MAX","robust-breeze-3 - epoch_time","robust-breeze-3 - epoch_time__MIN","robust-breeze-3 - epoch_time__MAX","eager-sun-1 - epoch_time","eager-sun-1 - epoch_time__MIN","eager-sun-1 - epoch_time__MAX"
"0","101.43674087524414","101.43674087524414","101.43674087524414","98.27945947647095","98.27945947647095","98.27945947647095","312.61628222465515","312.61628222465515","312.61628222465515"
"1","101.20577931404114","101.20577931404114","101.20577931404114","93.28631258010864","93.28631258010864","93.28631258010864","319.5878872871399","319.5878872871399","319.5878872871399"
"2","96.02369093894958","96.02369093894958","96.02369093894958","93.05940914154053","93.05940914154053","93.05940914154053","317.1067547798157","317.1067547798157","317.1067547798157"
"3","95.28910636901855","95.28910636901855","95.28910636901855","95.9819324016571","95.9819324016571","95.9819324016571","306.39384055137634","306.39384055137634","306.39384055137634"
"4","93.07372975349426","93.07372975349426","93.07372975349426","94.202969789505","94.202969789505","94.202969789505","312.5851790904999","312.5851790904999","312.5851790904999"
"5","92.64820075035095","92.64820075035095","92.64820075035095","94.06120896339417","94.06120896339417","94.06120896339417","","",""
"6","92.90024590492249","92.90024590492249","92.90024590492249","93.88690209388733","93.88690209388733","93.88690209388733","","",""
"7","95.3491382598877","95.3491382598877","95.3491382598877","96.68403744697571","96.68403744697571","96.68403744697571","","",""
"8","92.87189602851868","92.87189602851868","92.87189602851868","94.13279485702515","94.13279485702515","94.13279485702515","","",""
"9","94.40333914756775","94.40333914756775","94.40333914756775","93.32262086868286","93.32262086868286","93.32262086868286","","",""
"10","96.17050433158875","96.17050433158875","96.17050433158875","95.20478892326355","95.20478892326355","95.20478892326355","","",""
"11","96.97037100791931","96.97037100791931","96.97037100791931","97.35078859329224","97.35078859329224","97.35078859329224","","",""
"12","92.99713015556335","92.99713015556335","92.99713015556335","95.4110038280487","95.4110038280487","95.4110038280487","","",""
