"Step","dashing-field-5 - train-top1-acc","dashing-field-5 - train-top1-acc__MIN","dashing-field-5 - train-top1-acc__MAX","robust-breeze-3 - train-top1-acc","robust-breeze-3 - train-top1-acc__MIN","robust-breeze-3 - train-top1-acc__MAX","eager-sun-1 - train-top1-acc","eager-sun-1 - train-top1-acc__MIN","eager-sun-1 - train-top1-acc__MAX"
"89","","","","88.14149514222757","88.14149514222757","88.14149514222757","","",""
"90","","","","86.84050731169872","86.84050731169872","86.84050731169872","","",""
"91","","","","87.45062412359776","87.45062412359776","87.45062412359776","","",""
"92","","","","87.25218161558493","87.25218161558493","87.25218161558493","","",""
"93","","","","87.19482421875","87.19482421875","87.19482421875","","",""
"94","","","","87.44866786858974","87.44866786858974","87.44866786858974","","",""
"95","","","","86.61710298978366","86.61710298978366","86.61710298978366","","",""
"96","","","","86.1732678535657","86.1732678535657","86.1732678535657","","",""
"97","","","","87.51541528946314","87.51541528946314","87.51541528946314","","",""
"98","","","","88.11504657451923","88.11504657451923","88.11504657451923","","",""
"99","","","","87.73060334034456","87.73060334034456","87.73060334034456","","",""
"100","","","","88.01097380809294","88.01097380809294","88.01097380809294","","",""
"101","","","","86.76092685797276","86.76092685797276","86.76092685797276","","",""
"102","","","","87.25578112479968","87.25578112479968","87.25578112479968","","",""
"103","","","","89.16868552183493","89.16868552183493","89.16868552183493","","",""
"104","","","","87.14537009214743","87.14537009214743","87.14537009214743","","",""
"105","","","","87.73475060096153","87.73475060096153","87.73475060096153","","",""
"106","","","","87.5133807842548","87.5133807842548","87.5133807842548","","",""
"107","","","","88.33344288361378","88.33344288361378","88.33344288361378","","",""
"108","","","","87.16782789963942","87.16782789963942","87.16782789963942","","",""
"109","","","","87.01602251101762","87.01602251101762","87.01602251101762","","",""
