"Step","twilight-frost-4 - train-top1-acc","twilight-frost-4 - train-top1-acc__MIN","twilight-frost-4 - train-top1-acc__MAX","helpful-wildflower-5 - train-top1-acc","helpful-wildflower-5 - train-top1-acc__MIN","helpful-wildflower-5 - train-top1-acc__MAX","radiant-gorge-1 - train-top1-acc","radiant-gorge-1 - train-top1-acc__MIN","radiant-gorge-1 - train-top1-acc__MAX"
"0","88.6997320713141","88.6997320713141","88.6997320713141","86.6569323417468","86.6569323417468","86.6569323417468","85.7532207782452","85.7532207782452","85.7532207782452"
"1","88.5646722255609","88.5646722255609","88.5646722255609","86.5192119891827","86.5192119891827","86.5192119891827","85.69813263721956","85.69813263721956","85.69813263721956"
"2","87.26282364282852","87.26282364282852","87.26282364282852","85.345458984375","85.345458984375","85.345458984375","84.4791510166266","84.4791510166266","84.4791510166266"
"3","87.1860601963141","87.1860601963141","87.1860601963141","85.25038499098558","85.25038499098558","85.25038499098558","83.95941318609776","83.95941318609776","83.95941318609776"
"4","87.66338641826923","87.66338641826923","87.66338641826923","85.83851349659456","85.83851349659456","85.83851349659456","84.9922375801282","84.9922375801282","84.9922375801282"
"5","87.14145758213141","87.14145758213141","87.14145758213141","85.2398212139423","85.2398212139423","85.2398212139423","84.5462896885016","84.5462896885016","84.5462896885016"
"6","88.88135078625801","88.88135078625801","88.88135078625801","87.08949944911859","87.08949944911859","87.08949944911859","86.4433092948718","86.4433092948718","86.4433092948718"
"7","88.84864220252403","88.84864220252403","88.84864220252403","87.09458571213942","87.09458571213942","87.09458571213942","86.5077874599359","86.5077874599359","86.5077874599359"
"8","88.7829120342548","88.7829120342548","88.7829120342548","86.95999536758814","86.95999536758814","86.95999536758814","86.59902719350961","86.59902719350961","86.59902719350961"
"9","88.52750338040866","88.52750338040866","88.52750338040866","86.75771859975961","86.75771859975961","86.75771859975961","86.33407201522436","86.33407201522436","86.33407201522436"
"10","89.3668932792468","89.3668932792468","89.3668932792468","87.66761192908653","87.66761192908653","87.66761192908653","87.24912985777243","87.24912985777243","87.24912985777243"
"11","88.91319861778847","88.91319861778847","88.91319861778847","87.2127435146234","87.2127435146234","87.2127435146234","86.72993977864583","86.72993977864583","86.72993977864583"
"12","87.92137732872597","87.92137732872597","87.92137732872597","86.23712001702724","86.23712001702724","86.23712001702724","85.69382887620192","85.69382887620192","85.69382887620192"
"13","89.2753405448718","89.2753405448718","89.2753405448718","87.68177521534456","87.68177521534456","87.68177521534456","87.37292167467949","87.37292167467949","87.37292167467949"
"14","88.24267265124199","88.24267265124199","88.24267265124199","86.57242212540064","86.57242212540064","86.57242212540064","86.23023399939903","86.23023399939903","86.23023399939903"
"15","87.49757424379007","87.49757424379007","87.49757424379007","85.83671374198718","85.83671374198718","85.83671374198718","85.38442758413461","85.38442758413461","85.38442758413461"
"16","88.9416034405048","88.9416034405048","88.9416034405048","87.30335724659456","87.30335724659456","87.30335724659456","","",""
"17","88.35762219551282","88.35762219551282","88.35762219551282","86.84316781850961","86.84316781850961","86.84316781850961","","",""
"18","88.01911182892628","88.01911182892628","88.01911182892628","86.42781575520833","86.42781575520833","86.42781575520833","","",""
"19","89.31399614383012","89.31399614383012","89.31399614383012","87.89532001201923","87.89532001201923","87.89532001201923","","",""
"20","89.14575821314102","89.14575821314102","89.14575821314102","87.62746957632211","87.62746957632211","87.62746957632211","","",""
"21","89.66314853766026","89.66314853766026","89.66314853766026","88.27921549479167","88.27921549479167","88.27921549479167","","",""
"22","88.81577711838942","88.81577711838942","88.81577711838942","87.31579902844551","87.31579902844551","87.31579902844551","","",""
"23","88.38868752504007","88.38868752504007","88.38868752504007","86.8538098457532","86.8538098457532","86.8538098457532","","",""
"24","89.15499173677884","89.15499173677884","89.15499173677884","87.68701797876602","87.68701797876602","87.68701797876602","","",""
"25","88.2907965244391","88.2907965244391","88.2907965244391","86.85412284655449","86.85412284655449","86.85412284655449","","",""
"26","87.4438946063702","87.4438946063702","87.4438946063702","86.00010016025641","86.00010016025641","86.00010016025641","","",""
"27","88.72625888922276","88.72625888922276","88.72625888922276","87.27808243189102","87.27808243189102","87.27808243189102","","",""
"28","88.2007305438702","88.2007305438702","88.2007305438702","86.80028670873398","86.80028670873398","86.80028670873398","","",""
"29","88.86194473657852","88.86194473657852","88.86194473657852","87.48630621494391","87.48630621494391","87.48630621494391","","",""
"30","88.61835186298077","88.61835186298077","88.61835186298077","87.2963147285657","87.2963147285657","87.2963147285657","","",""
"31","89.5881848457532","89.5881848457532","89.5881848457532","88.34220690604968","88.34220690604968","88.34220690604968","","",""
"32","89.32894193209134","89.32894193209134","89.32894193209134","88.0664532001202","88.0664532001202","88.0664532001202","","",""
"33","87.88483448517628","87.88483448517628","87.88483448517628","86.64996807391827","86.64996807391827","86.64996807391827","","",""
"34","","","","87.05373910757211","87.05373910757211","87.05373910757211","","",""
"35","","","","87.05757336738782","87.05757336738782","87.05757336738782","","",""
"36","","","","87.41001226963141","87.41001226963141","87.41001226963141","","",""
"37","","","","86.72884427584134","86.72884427584134","86.72884427584134","","",""
"38","","","","87.70415477263622","87.70415477263622","87.70415477263622","","",""
"39","","","","87.97372671274039","87.97372671274039","87.97372671274039","","",""
"40","","","","85.74422200520833","85.74422200520833","85.74422200520833","","",""
"41","","","","86.05135404146634","86.05135404146634","86.05135404146634","","",""
"42","","","","86.97603665865384","86.97603665865384","86.97603665865384","","",""
"43","","","","86.30457168970352","86.30457168970352","86.30457168970352","","",""
"44","","","","88.16919571314102","88.16919571314102","88.16919571314102","","",""
"45","","","","86.94176307091347","86.94176307091347","86.94176307091347","","",""
"46","","","","87.20562274639423","87.20562274639423","87.20562274639423","","",""
"47","","","","86.69973520132211","86.69973520132211","86.69973520132211","","",""
"48","","","","89.04450245392628","89.04450245392628","89.04450245392628","","",""
"49","","","","87.22823705428686","87.22823705428686","87.22823705428686","","",""
"50","","","","86.70012645232372","86.70012645232372","86.70012645232372","","",""
"51","","","","86.67516463842148","86.67516463842148","86.67516463842148","","",""
"52","","","","87.53200433193109","87.53200433193109","87.53200433193109","","",""
"53","","","","88.53243314302884","88.53243314302884","88.53243314302884","","",""
"54","","","","88.00283578725961","88.00283578725961","88.00283578725961","","",""
"55","","","","87.35586313100961","87.35586313100961","87.35586313100961","","",""
"56","","","","86.86429537259616","86.86429537259616","86.86429537259616","","",""
"57","","","","87.05491286057692","87.05491286057692","87.05491286057692","","",""
"58","","","","87.22158578725961","87.22158578725961","87.22158578725961","","",""
"59","","","","87.47245592948718","87.47245592948718","87.47245592948718","","",""
"60","","","","88.13233986879007","88.13233986879007","88.13233986879007","","",""
"61","","","","87.44475535857372","87.44475535857372","87.44475535857372","","",""
"62","","","","88.52335611979167","88.52335611979167","88.52335611979167","","",""
"63","","","","88.71107835036058","88.71107835036058","88.71107835036058","","",""
"64","","","","88.09047601161859","88.09047601161859","88.09047601161859","","",""
"65","","","","87.93327135917468","87.93327135917468","87.93327135917468","","",""
"66","","","","86.70474321414262","86.70474321414262","86.70474321414262","","",""
"67","","","","87.75853866185898","87.75853866185898","87.75853866185898","","",""
"68","","","","88.58744303385417","88.58744303385417","88.58744303385417","","",""
"69","","","","88.18038549178686","88.18038549178686","88.18038549178686","","",""
"70","","","","87.29928823617789","87.29928823617789","87.29928823617789","","",""
"71","","","","87.62152256109776","87.62152256109776","87.62152256109776","","",""
"72","","","","87.29028946314102","87.29028946314102","87.29028946314102","","",""
"73","","","","86.50317069811699","86.50317069811699","86.50317069811699","","",""
"74","","","","88.99974333934294","88.99974333934294","88.99974333934294","","",""
