"Step","twilight-frost-4 - train-top5-acc","twilight-frost-4 - train-top5-acc__MIN","twilight-frost-4 - train-top5-acc__MAX","helpful-wildflower-5 - train-top5-acc","helpful-wildflower-5 - train-top5-acc__MIN","helpful-wildflower-5 - train-top5-acc__MAX","radiant-gorge-1 - train-top5-acc","radiant-gorge-1 - train-top5-acc__MIN","radiant-gorge-1 - train-top5-acc__MAX"
"0","96.42013158553686","96.42013158553686","96.42013158553686","95.27580065604968","95.27580065604968","95.27580065604968","94.83963403946314","94.83963403946314","94.83963403946314"
"1","96.37302496494391","96.37302496494391","96.37302496494391","95.2526385967548","95.2526385967548","95.2526385967548","94.8688213641827","94.8688213641827","94.8688213641827"
"2","96.0467998798077","96.0467998798077","96.0467998798077","94.90254720052083","94.90254720052083","94.90254720052083","94.35737805488782","94.35737805488782","94.35737805488782"
"3","96.05384239783653","96.05384239783653","96.05384239783653","94.93642953725961","94.93642953725961","94.93642953725961","94.15142352764423","94.15142352764423","94.15142352764423"
"4","96.15204639923878","96.15204639923878","96.15204639923878","95.05896935096153","95.05896935096153","95.05896935096153","94.59017240084134","94.59017240084134","94.59017240084134"
"5","96.05360764723558","96.05360764723558","96.05360764723558","94.91733648838141","94.91733648838141","94.91733648838141","94.48797763922276","94.48797763922276","94.48797763922276"
"6","96.45260541866988","96.45260541866988","96.45260541866988","95.44536884014423","95.44536884014423","95.44536884014423","95.22540752704327","95.22540752704327","95.22540752704327"
"7","96.47122896634616","96.47122896634616","96.47122896634616","95.48637194511218","95.48637194511218","95.48637194511218","95.27306189903847","95.27306189903847","95.27306189903847"
"8","96.4069073016827","96.4069073016827","96.4069073016827","95.42518028846153","95.42518028846153","95.42518028846153","95.33182779947917","95.33182779947917","95.33182779947917"
"9","96.33546486879007","96.33546486879007","96.33546486879007","95.33863556690706","95.33863556690706","95.33863556690706","95.25803786057692","95.25803786057692","95.25803786057692"
"10","96.5598864433093","96.5598864433093","96.5598864433093","95.62049278846153","95.62049278846153","95.62049278846153","95.5371563251202","95.5371563251202","95.5371563251202"
"11","96.46309094551282","96.46309094551282","96.46309094551282","95.49490121694711","95.49490121694711","95.49490121694711","95.33534905849359","95.33534905849359","95.33534905849359"
