"Step","twilight-frost-4 - loss","twilight-frost-4 - loss__MIN","twilight-frost-4 - loss__MAX","helpful-wildflower-5 - loss","helpful-wildflower-5 - loss__MIN","helpful-wildflower-5 - loss__MAX","radiant-gorge-1 - loss","radiant-gorge-1 - loss__MIN","radiant-gorge-1 - loss__MAX"
"0","1.7769710757793524","1.7769710757793524","1.7769710757793524","1.8963497762496655","1.8963497762496655","1.8963497762496655","1.9297611289299452","1.9297611289299452","1.9297611289299452"
"1","1.7827368088257618","1.7827368088257618","1.7827368088257618","1.9006826495512938","1.9006826495512938","1.9006826495512938","1.9273560104461818","1.9273560104461818","1.9273560104461818"
"2","1.808575337131818","1.808575337131818","1.808575337131818","1.9249671953610885","1.9249671953610885","1.9249671953610885","1.9624663855020816","1.9624663855020816","1.9624663855020816"
"3","1.85369551105377","1.85369551105377","1.85369551105377","1.97343602623695","1.97343602623695","1.97343602623695","2.030934077424881","2.030934077424881","2.030934077424881"
"4","1.7954265242203689","1.7954265242203689","1.7954265242203689","1.9095253898547246","1.9095253898547246","1.9095253898547246","1.9434581437172034","1.9434581437172034","1.9434581437172034"
"5","1.8197171092033386","1.8197171092033386","1.8197171092033386","1.9388739810540125","1.9388739810540125","1.9388739810540125","1.9657672066719105","1.9657672066719105","1.9657672066719105"
"6","1.8039863663606155","1.8039863663606155","1.8039863663606155","1.9155753686642036","1.9155753686642036","1.9155753686642036","1.9285119267610402","1.9285119267610402","1.9285119267610402"
"7","1.750790345363128","1.750790345363128","1.750790345363128","1.8571234005383956","1.8571234005383956","1.8571234005383956","1.869664613635112","1.869664613635112","1.869664613635112"
"8","1.776870214404204","1.776870214404204","1.776870214404204","1.887211146262976","1.887211146262976","1.887211146262976","1.89015874457665","1.89015874457665","1.89015874457665"
"9","1.7907820569399076","1.7907820569399076","1.7907820569399076","1.9012367664239345","1.9012367664239345","1.9012367664239345","1.9008714805046718","1.9008714805046718","1.9008714805046718"
"10","1.741867142992142","1.741867142992142","1.741867142992142","1.8457519645110154","1.8457519645110154","1.8457519645110154","1.8470653402499664","1.8470653402499664","1.8470653402499664"
"11","1.7933744215048277","1.7933744215048277","1.7933744215048277","1.901510246671163","1.901510246671163","1.901510246671163","1.904775457122387","1.904775457122387","1.904775457122387"
"12","1.8115593172036684","1.8115593172036684","1.8115593172036684","1.9212732112560518","1.9212732112560518","1.9212732112560518","1.9274286669798386","1.9274286669798386","1.9274286669798386"
"13","1.7968591367587066","1.7968591367587066","1.7968591367587066","1.9006384771603804","1.9006384771603804","1.9006384771603804","1.8966499368349712","1.8966499368349712","1.8966499368349712"
"14","1.8074468817466345","1.8074468817466345","1.8074468817466345","1.9169262441305013","1.9169262441305013","1.9169262441305013","1.9131809629690952","1.9131809629690952","1.9131809629690952"
"15","1.8266517030887115","1.8266517030887115","1.8266517030887115","1.9363973927803528","1.9363973927803528","1.9363973927803528","1.9410034196499066","1.9410034196499066","1.9410034196499066"
"16","1.7562213910695834","1.7562213910695834","1.7562213910695834","1.8580609544729576","1.8580609544729576","1.8580609544729576","","",""
"17","1.813403049722696","1.813403049722696","1.813403049722696","1.9157889450971897","1.9157889450971897","1.9157889450971897","","",""
"18","1.7903046745520372","1.7903046745520372","1.7903046745520372","1.8929501057435305","1.8929501057435305","1.8929501057435305","","",""
"19","1.748042270541191","1.748042270541191","1.748042270541191","1.8427119102233496","1.8427119102233496","1.8427119102233496","","",""
"20","1.778130903075903","1.778130903075903","1.778130903075903","1.874841740498176","1.874841740498176","1.874841740498176","","",""
"21","1.7467708885669708","1.7467708885669708","1.7467708885669708","1.8371287366518607","1.8371287366518607","1.8371287366518607","","",""
"22","1.80197739142638","1.80197739142638","1.80197739142638","1.8999122350643842","1.8999122350643842","1.8999122350643842","","",""
"23","1.7726808201808195","1.7726808201808195","1.7726808201808195","1.8673529059459002","1.8673529059459002","1.8673529059459002","","",""
"24","1.7696941365034153","1.7696941365034153","1.7696941365034153","1.865017368625372","1.865017368625372","1.865017368625372","","",""
"25","1.7647990091488912","1.7647990091488912","1.7647990091488912","1.859029810398053","1.859029810398053","1.859029810398053","","",""
"26","1.8408879274741197","1.8408879274741197","1.8408879274741197","1.9388806048112037","1.9388806048112037","1.9388806048112037","","",""
"27","1.791379771553553","1.791379771553553","1.791379771553553","1.8846610880050905","1.8846610880050905","1.8846610880050905","","",""
"28","1.8005720915702672","1.8005720915702672","1.8005720915702672","1.8902377501512184","1.8902377501512184","1.8902377501512184","","",""
"29","1.7574059344255006","1.7574059344255006","1.7574059344255006","1.845308318352088","1.845308318352088","1.845308318352088","","",""
"30","1.790662652024856","1.790662652024856","1.790662652024856","1.8794430807614937","1.8794430807614937","1.8794430807614937","","",""
"31","1.7594634294509888","1.7594634294509888","1.7594634294509888","1.8437297279253984","1.8437297279253984","1.8437297279253984","","",""
"32","1.7352438855629702","1.7352438855629702","1.7352438855629702","1.8179545039549851","1.8179545039549851","1.8179545039549851","","",""
"33","1.7938159264815159","1.7938159264815159","1.7938159264815159","1.8798352590738199","1.8798352590738199","1.8798352590738199","","",""
"34","","","","1.86926246377138","1.86926246377138","1.86926246377138","","",""
"35","","","","1.879878703600321","1.879878703600321","1.879878703600321","","",""
"36","","","","1.8372460221632934","1.8372460221632934","1.8372460221632934","","",""
"37","","","","1.8985676203782742","1.8985676203782742","1.8985676203782742","","",""
"38","","","","1.823783889794961","1.823783889794961","1.823783889794961","","",""
"39","","","","1.8413197287382224","1.8413197287382224","1.8413197287382224","","",""
"40","","","","1.9110021461278965","1.9110021461278965","1.9110021461278965","","",""
"41","","","","1.8710615161137703","1.8710615161137703","1.8710615161137703","","",""
"42","","","","1.8848178317913642","1.8848178317913642","1.8848178317913642","","",""
"43","","","","1.925005330871313","1.925005330871313","1.925005330871313","","",""
"44","","","","1.8329180368246176","1.8329180368246176","1.8329180368246176","","",""
"45","","","","1.8824787896413069","1.8824787896413069","1.8824787896413069","","",""
"46","","","","1.8490964441727369","1.8490964441727369","1.8490964441727369","","",""
"47","","","","1.8712906799255273","1.8712906799255273","1.8712906799255273","","",""
"48","","","","1.7922601248973455","1.7922601248973455","1.7922601248973455","","",""
"49","","","","1.862912735495812","1.862912735495812","1.862912735495812","","",""
"50","","","","1.8607246505144315","1.8607246505144315","1.8607246505144315","","",""
"51","","","","1.9277082758072095","1.9277082758072095","1.9277082758072095","","",""
"52","","","","1.839055190101648","1.839055190101648","1.839055190101648","","",""
"53","","","","1.848213499555221","1.848213499555221","1.848213499555221","","",""
"54","","","","1.8299508958290784","1.8299508958290784","1.8299508958290784","","",""
"55","","","","1.8493527235128941","1.8493527235128941","1.8493527235128941","","",""
"56","","","","1.877907409117772","1.877907409117772","1.877907409117772","","",""
"57","","","","1.8580051626150424","1.8580051626150424","1.8580051626150424","","",""
"58","","","","1.8986864070861766","1.8986864070861766","1.8986864070861766","","",""
"59","","","","1.8454006073566585","1.8454006073566585","1.8454006073566585","","",""
"60","","","","1.851249513335717","1.851249513335717","1.851249513335717","","",""
"61","","","","1.8317482624298487","1.8317482624298487","1.8317482624298487","","",""
"62","","","","1.8121376289771154","1.8121376289771154","1.8121376289771154","","",""
"63","","","","1.774602363889034","1.774602363889034","1.774602363889034","","",""
"64","","","","1.808239691150494","1.808239691150494","1.808239691150494","","",""
"65","","","","1.81186588987326","1.81186588987326","1.81186588987326","","",""
"66","","","","1.8541612185728855","1.8541612185728855","1.8541612185728855","","",""
"67","","","","1.8178090747350302","1.8178090747350302","1.8178090747350302","","",""
"68","","","","1.7934075846121862","1.7934075846121862","1.7934075846121862","","",""
"69","","","","1.8014500305438652","1.8014500305438652","1.8014500305438652","","",""
"70","","","","1.8784029235442479","1.8784029235442479","1.8784029235442479","","",""
"71","","","","1.8125116400993788","1.8125116400993788","1.8125116400993788","","",""
"72","","","","1.8632792360507524","1.8632792360507524","1.8632792360507524","","",""
"73","","","","1.8944964523498828","1.8944964523498828","1.8944964523498828","","",""
"74","","","","1.794662485902126","1.794662485902126","1.794662485902126","","",""
"75","","","","1.803532532010323","1.803532532010323","1.803532532010323","","",""
"76","","","","1.848642648412631","1.848642648412631","1.848642648412631","","",""
"77","","","","1.8384476120655353","1.8384476120655353","1.8384476120655353","","",""
"78","","","","1.8432681518487442","1.8432681518487442","1.8432681518487442","","",""
"79","","","","1.8676414566162305","1.8676414566162305","1.8676414566162305","","",""
"80","","","","1.7853734149382665","1.7853734149382665","1.7853734149382665","","",""
"81","","","","1.8015570652026396","1.8015570652026396","1.8015570652026396","","",""
"82","","","","1.808615355919569","1.808615355919569","1.808615355919569","","",""
"83","","","","1.8295674071862147","1.8295674071862147","1.8295674071862147","","",""
"84","","","","1.7680206753504581","1.7680206753504581","1.7680206753504581","","",""
"85","","","","1.8326217016348472","1.8326217016348472","1.8326217016348472","","",""
"86","","","","1.8098886341620715","1.8098886341620715","1.8098886341620715","","",""
"87","","","","1.8237586995730033","1.8237586995730033","1.8237586995730033","","",""
"88","","","","1.8516480907415733","1.8516480907415733","1.8516480907415733","","",""
"89","","","","1.7676169390861804","1.7676169390861804","1.7676169390861804","","",""
"90","","","","1.8068742920190861","1.8068742920190861","1.8068742920190861","","",""
"91","","","","1.8288590950079453","1.8288590950079453","1.8288590950079453","","",""
"92","","","","1.831971483734938","1.831971483734938","1.831971483734938","","",""
"93","","","","1.8185663169775255","1.8185663169775255","1.8185663169775255","","",""
"94","","","","1.8062164107194314","1.8062164107194314","1.8062164107194314","","",""
"95","","","","1.8271779135251656","1.8271779135251656","1.8271779135251656","","",""
"96","","","","1.8565667756857016","1.8565667756857016","1.8565667756857016","","",""
"97","","","","1.7914252361425986","1.7914252361425986","1.7914252361425986","","",""
"98","","","","1.7702348579963048","1.7702348579963048","1.7702348579963048","","",""
"99","","","","1.7957814790499516","1.7957814790499516","1.7957814790499516","","",""
"100","","","","1.7735055983066559","1.7735055983066559","1.7735055983066559","","",""
"101","","","","1.8174884357513525","1.8174884357513525","1.8174884357513525","","",""
"102","","","","1.8226558019717534","1.8226558019717534","1.8226558019717534","","",""
"103","","","","1.7662112953571172","1.7662112953571172","1.7662112953571172","","",""
"104","","","","1.854618639900134","1.854618639900134","1.854618639900134","","",""
"105","","","","1.814760074401513","1.814760074401513","1.814760074401513","","",""
"106","","","","1.805931215102856","1.805931215102856","1.805931215102856","","",""
"107","","","","1.781888797497138","1.781888797497138","1.781888797497138","","",""
"108","","","","1.8126301612609472","1.8126301612609472","1.8126301612609472","","",""
