"Step","twilight-frost-4 - epoch_time","twilight-frost-4 - epoch_time__MIN","twilight-frost-4 - epoch_time__MAX","helpful-wildflower-5 - epoch_time","helpful-wildflower-5 - epoch_time__MIN","helpful-wildflower-5 - epoch_time__MAX","radiant-gorge-1 - epoch_time","radiant-gorge-1 - epoch_time__MIN","radiant-gorge-1 - epoch_time__MAX"
"0","98.13116669654846","98.13116669654846","98.13116669654846","96.33036851882935","96.33036851882935","96.33036851882935","333.07842898368835","333.07842898368835","333.07842898368835"
"1","92.38196682929993","92.38196682929993","92.38196682929993","98.21030068397522","98.21030068397522","98.21030068397522","318.77890062332153","318.77890062332153","318.77890062332153"
"2","92.31693005561829","92.31693005561829","92.31693005561829","94.35336899757385","94.35336899757385","94.35336899757385","326.2925035953522","326.2925035953522","326.2925035953522"
"3","93.71043705940247","93.71043705940247","93.71043705940247","93.32648587226868","93.32648587226868","93.32648587226868","320.24051666259766","320.24051666259766","320.24051666259766"
"4","93.5850920677185","93.5850920677185","93.5850920677185","93.55036306381226","93.55036306381226","93.55036306381226","315.5733458995819","315.5733458995819","315.5733458995819"
"5","92.01828026771545","92.01828026771545","92.01828026771545","93.46078658103943","93.46078658103943","93.46078658103943","312.7152383327484","312.7152383327484","312.7152383327484"
"6","92.53476405143738","92.53476405143738","92.53476405143738","93.0777473449707","93.0777473449707","93.0777473449707","311.85702538490295","311.85702538490295","311.85702538490295"
"7","92.29395532608032","92.29395532608032","92.29395532608032","96.13928413391113","96.13928413391113","96.13928413391113","318.1520097255707","318.1520097255707","318.1520097255707"
"8","92.61730456352234","92.61730456352234","92.61730456352234","92.7338662147522","92.7338662147522","92.7338662147522","331.3807125091553","331.3807125091553","331.3807125091553"
"9","94.0812509059906","94.0812509059906","94.0812509059906","97.89901542663574","97.89901542663574","97.89901542663574","312.0244998931885","312.0244998931885","312.0244998931885"
"10","91.90836381912231","91.90836381912231","91.90836381912231","97.29052019119263","97.29052019119263","97.29052019119263","319.59214091300964","319.59214091300964","319.59214091300964"
"11","92.09518361091614","92.09518361091614","92.09518361091614","98.59331679344177","98.59331679344177","98.59331679344177","328.95414447784424","328.95414447784424","328.95414447784424"
"12","92.27075600624084","92.27075600624084","92.27075600624084","94.28374600410461","94.28374600410461","94.28374600410461","305.3553605079651","305.3553605079651","305.3553605079651"
"13","93.08941626548767","93.08941626548767","93.08941626548767","97.70305609703064","97.70305609703064","97.70305609703064","317.717089176178","317.717089176178","317.717089176178"
"14","92.58140683174133","92.58140683174133","92.58140683174133","95.1182963848114","95.1182963848114","95.1182963848114","309.19100999832153","309.19100999832153","309.19100999832153"
"15","92.72766327857971","92.72766327857971","92.72766327857971","94.47744917869568","94.47744917869568","94.47744917869568","315.43751406669617","315.43751406669617","315.43751406669617"
"16","92.58712005615234","92.58712005615234","92.58712005615234","95.25065755844116","95.25065755844116","95.25065755844116","","",""
"17","92.16672730445862","92.16672730445862","92.16672730445862","101.13648343086243","101.13648343086243","101.13648343086243","","",""
"18","92.7690544128418","92.7690544128418","92.7690544128418","92.29987025260925","92.29987025260925","92.29987025260925","","",""
"19","93.13603639602661","93.13603639602661","93.13603639602661","92.7931559085846","92.7931559085846","92.7931559085846","","",""
"20","93.66945886611938","93.66945886611938","93.66945886611938","95.40020656585693","95.40020656585693","95.40020656585693","","",""
"21","92.72081685066223","92.72081685066223","92.72081685066223","92.71681785583496","92.71681785583496","92.71681785583496","","",""
"22","92.82260465621948","92.82260465621948","92.82260465621948","92.66190147399902","92.66190147399902","92.66190147399902","","",""
"23","92.81202983856201","92.81202983856201","92.81202983856201","93.73520255088806","93.73520255088806","93.73520255088806","","",""
"24","92.81560134887695","92.81560134887695","92.81560134887695","92.60533380508423","92.60533380508423","92.60533380508423","","",""
"25","94.22536659240723","94.22536659240723","94.22536659240723","92.56846618652344","92.56846618652344","92.56846618652344","","",""
"26","92.58188033103943","92.58188033103943","92.58188033103943","101.19487309455872","101.19487309455872","101.19487309455872","","",""
"27","92.61600708961487","92.61600708961487","92.61600708961487","92.7807867527008","92.7807867527008","92.7807867527008","","",""
"28","92.67230796813965","92.67230796813965","92.67230796813965","92.11040902137756","92.11040902137756","92.11040902137756","","",""
"29","92.72654724121094","92.72654724121094","92.72654724121094","92.64650893211365","92.64650893211365","92.64650893211365","","",""
"30","92.16166806221008","92.16166806221008","92.16166806221008","95.66402983665466","95.66402983665466","95.66402983665466","","",""
"31","94.5968554019928","94.5968554019928","94.5968554019928","96.76599550247192","96.76599550247192","96.76599550247192","","",""
"32","96.31933259963989","96.31933259963989","96.31933259963989","92.4314751625061","92.4314751625061","92.4314751625061","","",""
"33","92.6435956954956","92.6435956954956","92.6435956954956","93.05377840995789","93.05377840995789","93.05377840995789","","",""
"34","","","","92.29647946357727","92.29647946357727","92.29647946357727","","",""
"35","","","","92.47008633613586","92.47008633613586","92.47008633613586","","",""
"36","","","","96.47405529022217","96.47405529022217","96.47405529022217","","",""
"37","","","","92.95444345474243","92.95444345474243","92.95444345474243","","",""
"38","","","","91.89276909828186","91.89276909828186","91.89276909828186","","",""
"39","","","","93.61053586006165","93.61053586006165","93.61053586006165","","",""
"40","","","","92.2099437713623","92.2099437713623","92.2099437713623","","",""
"41","","","","92.21376347541809","92.21376347541809","92.21376347541809","","",""
"42","","","","97.4733076095581","97.4733076095581","97.4733076095581","","",""
"43","","","","92.06970739364624","92.06970739364624","92.06970739364624","","",""
