"Step","dashing-sound-64 - loss","dashing-sound-64 - loss__MIN","dashing-sound-64 - loss__MAX","easy-river-63 - loss","easy-river-63 - loss__MIN","easy-river-63 - loss__MAX","fearless-fire-62 - loss","fearless-fire-62 - loss__MIN","fearless-fire-62 - loss__MAX","decent-frost-61 - loss","decent-frost-61 - loss__MIN","decent-frost-61 - loss__MAX","woven-voice-60 - loss","woven-voice-60 - loss__MIN","woven-voice-60 - loss__MAX","fragrant-river-59 - loss","fragrant-river-59 - loss__MIN","fragrant-river-59 - loss__MAX"
"10","1.5677779630208626","1.5677779630208626","1.5677779630208626","1.626432512433101","1.626432512433101","1.626432512433101","1.7742047596436281","1.7742047596436281","1.7742047596436281","1.9849306551309733","1.9849306551309733","1.9849306551309733","2.3767065753539405","2.3767065753539405","2.3767065753539405","5.350662274238391","5.350662274238391","5.350662274238391"
"11","1.6092689774739437","1.6092689774739437","1.6092689774739437","1.6782265106836955","1.6782265106836955","1.6782265106836955","1.8296456913917492","1.8296456913917492","1.8296456913917492","2.036181715818552","2.036181715818552","2.036181715818552","2.443697151083213","2.443697151083213","2.443697151083213","5.27096366423827","5.27096366423827","5.27096366423827"
"12","1.6219768699927208","1.6219768699927208","1.6219768699927208","1.6913603322628217","1.6913603322628217","1.6913603322628217","1.8456496011752348","1.8456496011752348","1.8456496011752348","2.0574909307253666","2.0574909307253666","2.0574909307253666","2.4716307585820174","2.4716307585820174","2.4716307585820174","5.169662848497048","5.169662848497048","5.169662848497048"
"13","1.6144054249311104","1.6144054249311104","1.6144054249311104","1.6768369651757753","1.6768369651757753","1.6768369651757753","1.8234075495065787","1.8234075495065787","1.8234075495065787","2.0331574349831314","2.0331574349831314","2.0331574349831314","2.4173541168371835","2.4173541168371835","2.4173541168371835","5.003334120298043","5.003334120298043","5.003334120298043"
"14","1.6212317897723272","1.6212317897723272","1.6212317897723272","1.6812984496355057","1.6812984496355057","1.6812984496355057","1.8360683692571445","1.8360683692571445","1.8360683692571445","2.0469028048026257","2.0469028048026257","2.0469028048026257","2.4417427743856726","2.4417427743856726","2.4417427743856726","4.898489822179843","4.898489822179843","4.898489822179843"
"15","1.6357562347100332","1.6357562347100332","1.6357562347100332","1.6925436571622505","1.6925436571622505","1.6925436571622505","1.8515081382714784","1.8515081382714784","1.8515081382714784","2.0642733719104376","2.0642733719104376","2.0642733719104376","2.460439460017742","2.460439460017742","2.460439460017742","4.800310847850946","4.800310847850946","4.800310847850946"
"16","1.5775524129470189","1.5775524129470189","1.5775524129470189","1.6273629913727443","1.6273629913727443","1.6273629913727443","1.7737868030865986","1.7737868030865986","1.7737868030865986","1.982240337973986","1.982240337973986","1.982240337973986","2.348995723021336","2.348995723021336","2.348995723021336","4.593190194704594","4.593190194704594","4.593190194704594"
"17","1.6274844530301216","1.6274844530301216","1.6274844530301216","1.677180874806184","1.677180874806184","1.677180874806184","1.829282901225946","1.829282901225946","1.829282901225946","2.0365835978434634","2.0365835978434634","2.0365835978434634","2.4056924398128805","2.4056924398128805","2.4056924398128805","4.537868980413828","4.537868980413828","4.537868980413828"
"18","1.6055613339711459","1.6055613339711459","1.6055613339711459","1.6526129990816116","1.6526129990816116","1.6526129990816116","1.8012762298950782","1.8012762298950782","1.8012762298950782","2.006353076451864","2.006353076451864","2.006353076451864","2.3747743643247166","2.3747743643247166","2.3747743643247166","4.412436739756511","4.412436739756511","4.412436739756511"
"19","","","","1.6164496403474073","1.6164496403474073","1.6164496403474073","1.7491233765314786","1.7491233765314786","1.7491233765314786","1.9400845517714818","1.9400845517714818","1.9400845517714818","2.2872044887298193","2.2872044887298193","2.2872044887298193","4.237251128141697","4.237251128141697","4.237251128141697"
"20","","","","1.6405235792581851","1.6405235792581851","1.6405235792581851","1.7766648488931167","1.7766648488931167","1.7766648488931167","1.9731150987820747","1.9731150987820747","1.9731150987820747","2.3244684758858805","2.3244684758858805","2.3244684758858805","4.187459750817372","4.187459750817372","4.187459750817372"
"21","","","","1.6125677579488509","1.6125677579488509","1.6125677579488509","1.7401516918952649","1.7401516918952649","1.7401516918952649","1.9362822354604037","1.9362822354604037","1.9362822354604037","2.26436101205838","2.26436101205838","2.26436101205838","4.055975888784115","4.055975888784115","4.055975888784115"
"22","","","","1.6586170269128604","1.6586170269128604","1.6586170269128604","1.794008623713102","1.794008623713102","1.794008623713102","2.002443171082399","2.002443171082399","2.002443171082399","2.339690616879708","2.339690616879708","2.339690616879708","4.061020190135027","4.061020190135027","4.061020190135027"
"23","","","","1.6300707432704094","1.6300707432704094","1.6300707432704094","1.7627344146752968","1.7627344146752968","1.7627344146752968","1.9661712799316797","1.9661712799316797","1.9661712799316797","2.2987681176417913","2.2987681176417913","2.2987681176417913","3.9661290301726413","3.9661290301726413","3.9661290301726413"
"24","","","","1.6268721310756145","1.6268721310756145","1.6268721310756145","1.7615337853248303","1.7615337853248303","1.7615337853248303","1.9522647991394386","1.9522647991394386","1.9522647991394386","2.2773080384119964","2.2773080384119964","2.2773080384119964","3.884719039385135","3.884719039385135","3.884719039385135"
"25","","","","1.6180120152540696","1.6180120152540696","1.6180120152540696","1.7584424293958223","1.7584424293958223","1.7584424293958223","1.9558908018546226","1.9558908018546226","1.9558908018546226","2.272744255952346","2.272744255952346","2.272744255952346","3.8205081805204735","3.8205081805204735","3.8205081805204735"
"26","","","","1.6819928112702491","1.6819928112702491","1.6819928112702491","1.8334331692029269","1.8334331692029269","1.8334331692029269","2.0363534352718253","2.0363534352718253","2.0363534352718253","2.362799810293393","2.362799810293393","2.362799810293393","3.872188383952165","3.872188383952165","3.872188383952165"
"27","","","","1.6424527420447423","1.6424527420447423","1.6424527420447423","1.7751604139040678","1.7751604139040678","1.7751604139040678","1.9725293738719745","1.9725293738719745","1.9725293738719745","2.276579703275974","2.276579703275974","2.276579703275974","3.7260538859245105","3.7260538859245105","3.7260538859245105"
"28","","","","1.6450280363743122","1.6450280363743122","1.6450280363743122","1.784275186367524","1.784275186367524","1.784275186367524","1.978968518284651","1.978968518284651","1.978968518284651","2.28769296560532","2.28769296560532","2.28769296560532","3.698802727155196","3.698802727155196","3.698802727155196"
"29","","","","1.6117597741958423","1.6117597741958423","1.6117597741958423","1.7474448329363115","1.7474448329363115","1.7474448329363115","1.928930633343183","1.928930633343183","1.928930633343183","2.2142850569425483","2.2142850569425483","2.2142850569425483","3.569335483587705","3.569335483587705","3.569335483587705"
"30","","","","1.6406044222605534","1.6406044222605534","1.6406044222605534","1.777907914458177","1.777907914458177","1.777907914458177","1.9568096170058618","1.9568096170058618","1.9568096170058618","2.248884236201262","2.248884236201262","2.248884236201262","3.5737359477923465","3.5737359477923465","3.5737359477923465"
"31","","","","1.6150560088646717","1.6150560088646717","1.6150560088646717","1.7323228147549508","1.7323228147549508","1.7323228147549508","1.9094985192402816","1.9094985192402816","1.9094985192402816","2.1928676695395737","2.1928676695395737","2.1928676695395737","3.460648259291282","3.460648259291282","3.460648259291282"
"32","","","","1.5921184966961544","1.5921184966961544","1.5921184966961544","1.7070023272282038","1.7070023272282038","1.7070023272282038","1.8876760128216865","1.8876760128216865","1.8876760128216865","2.156244266873751","2.156244266873751","2.156244266873751","3.3707538545131683","3.3707538545131683","3.3707538545131683"
"33","","","","1.6357894925734935","1.6357894925734935","1.6357894925734935","1.7635614818487413","1.7635614818487413","1.7635614818487413","1.9558070275263908","1.9558070275263908","1.9558070275263908","2.2390499783632083","2.2390499783632083","2.2390499783632083","3.4222279641872797","3.4222279641872797","3.4222279641872797"
"34","","","","1.6282343765099843","1.6282343765099843","1.6282343765099843","1.7523453678840246","1.7523453678840246","1.7523453678840246","1.9559799062135892","1.9559799062135892","1.9559799062135892","2.2167842200933356","2.2167842200933356","2.2167842200933356","3.3463648756345115","3.3463648756345115","3.3463648756345115"
"35","","","","1.6368232606313167","1.6368232606313167","1.6368232606313167","1.755998996969981","1.755998996969981","1.755998996969981","1.9554487902384539","1.9554487902384539","1.9554487902384539","2.2269060004215975","2.2269060004215975","2.2269060004215975","3.309863086694326","3.309863086694326","3.309863086694326"
"36","","","","1.60218303440473","1.60218303440473","1.60218303440473","1.7146042646505895","1.7146042646505895","1.7146042646505895","1.9009171674648921","1.9009171674648921","1.9009171674648921","2.1651513496270547","2.1651513496270547","2.1651513496270547","3.199125186755107","3.199125186755107","3.199125186755107"
"37","","","","1.6509046241258964","1.6509046241258964","1.6509046241258964","1.769886661034364","1.769886661034364","1.769886661034364","1.9662574766538081","1.9662574766538081","1.9662574766538081","2.241216262945762","2.241216262945762","2.241216262945762","3.248787128008329","3.248787128008329","3.248787128008329"
"38","","","","1.5910188826995018","1.5910188826995018","1.5910188826995018","1.7034072971496828","1.7034072971496828","1.7034072971496828","1.8834757892749248","1.8834757892749248","1.8834757892749248","2.139864954046714","2.139864954046714","2.139864954046714","3.089247086873421","3.089247086873421","3.089247086873421"
"39","","","","1.6048649140657523","1.6048649140657523","1.6048649140657523","1.7132901675426042","1.7132901675426042","1.7132901675426042","1.893236131622241","1.893236131622241","1.893236131622241","2.149660582725818","2.149660582725818","2.149660582725818","3.0655944660688057","3.0655944660688057","3.0655944660688057"
"40","","","","1.6529451742386208","1.6529451742386208","1.6529451742386208","1.7720427578076339","1.7720427578076339","1.7720427578076339","1.9711804145421736","1.9711804145421736","1.9711804145421736","2.248884895673165","2.248884895673165","2.248884895673165","3.1559931819255533","3.1559931819255533","3.1559931819255533"
"41","","","","1.6235370360887968","1.6235370360887968","1.6235370360887968","1.7361568372983198","1.7361568372983198","1.7361568372983198","1.9327245010779455","1.9327245010779455","1.9327245010779455","2.201080398681836","2.201080398681836","2.201080398681836","3.0641995714260983","3.0641995714260983","3.0641995714260983"
"42","","","","1.6397751034834447","1.6397751034834447","1.6397751034834447","1.7462321871366255","1.7462321871366255","1.7462321871366255","1.9384988007637172","1.9384988007637172","1.9384988007637172","2.197782147771273","2.197782147771273","2.197782147771273","3.0297433042373414","3.0297433042373414","3.0297433042373414"
"43","","","","1.6681208656384394","1.6681208656384394","1.6681208656384394","1.7830990487948442","1.7830990487948442","1.7830990487948442","1.9787722547084858","1.9787722547084858","1.9787722547084858","2.2462412267923355","2.2462412267923355","2.2462412267923355","3.0665506582993727","3.0665506582993727","3.0665506582993727"
"44","","","","1.5997668787454948","1.5997668787454948","1.5997668787454948","1.7036022341404207","1.7036022341404207","1.7036022341404207","1.8729047217430213","1.8729047217430213","1.8729047217430213","2.115145126214394","2.115145126214394","2.115145126214394","2.8693236376230535","2.8693236376230535","2.8693236376230535"
"45","","","","1.6373959638369389","1.6373959638369389","1.6373959638369389","1.7414623128298001","1.7414623128298001","1.7414623128298001","1.9211323861128244","1.9211323861128244","1.9211323861128244","2.1819697519143424","2.1819697519143424","2.1819697519143424","2.922305995073074","2.922305995073074","2.922305995073074"
"46","","","","1.6109033704568179","1.6109033704568179","1.6109033704568179","1.706593856979639","1.706593856979639","1.706593856979639","1.881790843529579","1.881790843529579","1.881790843529579","2.132695476214091","2.132695476214091","2.132695476214091","2.8496919858914156","2.8496919858914156","2.8496919858914156"
"47","","","","1.6271095933058324","1.6271095933058324","1.6271095933058324","1.7230400347556822","1.7230400347556822","1.7230400347556822","1.9030242291016457","1.9030242291016457","1.9030242291016457","2.1627694291946216","2.1627694291946216","2.1627694291946216","2.8609733913953486","2.8609733913953486","2.8609733913953486"
"48","","","","1.5728443001325314","1.5728443001325314","1.5728443001325314","1.6548531414606633","1.6548531414606633","1.6548531414606633","1.8135848098840468","1.8135848098840468","1.8135848098840468","2.0448063004475374","2.0448063004475374","2.0448063004475374","2.689884831508001","2.689884831508001","2.689884831508001"
"49","","","","1.6237498200856721","1.6237498200856721","1.6237498200856721","1.7110952054842925","1.7110952054842925","1.7110952054842925","1.893637885649999","1.893637885649999","1.893637885649999","2.134135666948098","2.134135666948098","2.134135666948098","2.788026267519364","2.788026267519364","2.788026267519364"
"50","","","","1.6167565167714388","1.6167565167714388","1.6167565167714388","1.7092707080718799","1.7092707080718799","1.7092707080718799","1.8881957955085313","1.8881957955085313","1.8881957955085313","2.1314696982885017","2.1314696982885017","2.1314696982885017","2.766029172218763","2.766029172218763","2.766029172218763"
"51","","","","1.6749092883024461","1.6749092883024461","1.6749092883024461","1.7678526506209984","1.7678526506209984","1.7678526506209984","1.9529951780270307","1.9529951780270307","1.9529951780270307","2.21080113412478","2.21080113412478","2.21080113412478","2.8346113661924996","2.8346113661924996","2.8346113661924996"
"52","","","","1.6050803921161554","1.6050803921161554","1.6050803921161554","1.6880702808117256","1.6880702808117256","1.6880702808117256","1.8642621078552344","1.8642621078552344","1.8642621078552344","2.0955932518610587","2.0955932518610587","2.0955932518610587","2.682833173718208","2.682833173718208","2.682833173718208"
"53","","","","1.6155713093586457","1.6155713093586457","1.6155713093586457","1.6951650560666354","1.6951650560666354","1.6951650560666354","1.8642258770190752","1.8642258770190752","1.8642258770190752","2.092588123602745","2.092588123602745","2.092588123602745","2.657469091125024","2.657469091125024","2.657469091125024"
"54","","","","1.5989316228108528","1.5989316228108528","1.5989316228108528","1.6763715151792917","1.6763715151792917","1.6763715151792917","1.8428743401399026","1.8428743401399026","1.8428743401399026","2.071921314948644","2.071921314948644","2.071921314948644","2.6251651415458093","2.6251651415458093","2.6251651415458093"
"55","","","","1.613073943517147","1.613073943517147","1.613073943517147","1.6907843550046284","1.6907843550046284","1.6907843550046284","1.8632098749662056","1.8632098749662056","1.8632098749662056","2.0920104074936647","2.0920104074936647","2.0920104074936647","2.637172532387269","2.637172532387269","2.637172532387269"
"56","","","","1.6358471803176098","1.6358471803176098","1.6358471803176098","1.7146404102826729","1.7146404102826729","1.7146404102826729","1.8913475278860483","1.8913475278860483","1.8913475278860483","2.1279583879006214","2.1279583879006214","2.1279583879006214","2.670617103194579","2.670617103194579","2.670617103194579"
"57","","","","1.619553042910038","1.619553042910038","1.619553042910038","","","","1.8685519729669278","1.8685519729669278","1.8685519729669278","2.1022626536014752","2.1022626536014752","2.1022626536014752","2.625062638750443","2.625062638750443","2.625062638750443"
"58","","","","1.6524536143510768","1.6524536143510768","1.6524536143510768","","","","","","","","","","","",""
"59","","","","1.6124427245977597","1.6124427245977597","1.6124427245977597","","","","","","","","","","","",""
