"Step","dashing-sound-64 - train-top1-acc","dashing-sound-64 - train-top1-acc__MIN","dashing-sound-64 - train-top1-acc__MAX","easy-river-63 - train-top1-acc","easy-river-63 - train-top1-acc__MIN","easy-river-63 - train-top1-acc__MAX","fearless-fire-62 - train-top1-acc","fearless-fire-62 - train-top1-acc__MIN","fearless-fire-62 - train-top1-acc__MAX","decent-frost-61 - train-top1-acc","decent-frost-61 - train-top1-acc__MIN","decent-frost-61 - train-top1-acc__MAX","woven-voice-60 - train-top1-acc","woven-voice-60 - train-top1-acc__MIN","woven-voice-60 - train-top1-acc__MAX","fragrant-river-59 - train-top1-acc","fragrant-river-59 - train-top1-acc__MIN","fragrant-river-59 - train-top1-acc__MAX"
"0","91.79335374098558","91.79335374098558","91.79335374098558","90.4289049979968","90.4289049979968","90.4289049979968","87.57715469751602","87.57715469751602","87.57715469751602","83.51385654547276","83.51385654547276","83.51385654547276","74.21389848758012","74.21389848758012","74.21389848758012","0.4268548427483974","0.4268548427483974","0.4268548427483974"
"1","91.70375726161859","91.70375726161859","91.70375726161859","90.2004144130609","90.2004144130609","90.2004144130609","87.42550580929488","87.42550580929488","87.42550580929488","83.2401373447516","83.2401373447516","83.2401373447516","74.40553322816507","74.40553322816507","74.40553322816507","1.452010717147436","1.452010717147436","1.452010717147436"
"2","90.43508676382211","90.43508676382211","90.43508676382211","89.09912109375","89.09912109375","89.09912109375","86.03507799979968","86.03507799979968","86.03507799979968","82.00354942908653","82.00354942908653","82.00354942908653","73.47506009615384","73.47506009615384","73.47506009615384","2.615669446113782","2.615669446113782","2.615669446113782"
"3","90.57335486778847","90.57335486778847","90.57335486778847","89.19223883213141","89.19223883213141","89.19223883213141","86.11857096354167","86.11857096354167","86.11857096354167","81.8233392177484","81.8233392177484","81.8233392177484","73.57968061398238","73.57968061398238","73.57968061398238","3.7384815705128207","3.7384815705128207","3.7384815705128207"
"4","90.83580603966347","90.83580603966347","90.83580603966347","89.55907577123398","89.55907577123398","89.55907577123398","86.68165940504808","86.68165940504808","86.68165940504808","82.59958120492789","82.59958120492789","82.59958120492789","74.54074957431891","74.54074957431891","74.54074957431891","5.087436773838141","5.087436773838141","5.087436773838141"
"5","90.35104604867789","90.35104604867789","90.35104604867789","88.99856958633814","88.99856958633814","88.99856958633814","85.99861340645032","85.99861340645032","85.99861340645032","82.13516626602564","82.13516626602564","82.13516626602564","74.32039701021634","74.32039701021634","74.32039701021634","6.367453550681089","6.367453550681089","6.367453550681089"
"6","92.01949681991186","92.01949681991186","92.01949681991186","90.65747383313301","90.65747383313301","90.65747383313301","88.01066080729167","88.01066080729167","88.01066080729167","83.91434107071314","83.91434107071314","83.91434107071314","76.46507850060097","76.46507850060097","76.46507850060097","8.024949293870192","8.024949293870192","8.024949293870192"
"7","91.80767352764423","91.80767352764423","91.80767352764423","90.62640850360577","90.62640850360577","90.62640850360577","88.01504281850961","88.01504281850961","88.01504281850961","84.17021922576122","84.17021922576122","84.17021922576122","76.80922288161058","76.80922288161058","76.80922288161058","9.528683393429487","9.528683393429487","9.528683393429487"
"8","91.91190279447116","91.91190279447116","91.91190279447116","90.73783678886218","90.73783678886218","90.73783678886218","87.92278583233173","87.92278583233173","87.92278583233173","84.1064453125","84.1064453125","84.1064453125","76.94256122295673","76.94256122295673","76.94256122295673","10.989614633413462","10.989614633413462","10.989614633413462"
"9","91.61251752804488","91.61251752804488","91.61251752804488","90.5269524989984","90.5269524989984","90.5269524989984","87.59569999499199","87.59569999499199","87.59569999499199","83.8623046875","83.8623046875","83.8623046875","77.00633513621794","77.00633513621794","77.00633513621794","12.648362379807692","12.648362379807692","12.648362379807692"
"10","92.38735101161859","92.38735101161859","92.38735101161859","91.36994190705128","91.36994190705128","91.36994190705128","88.70755709134616","88.70755709134616","88.70755709134616","84.84473595252403","84.84473595252403","84.84473595252403","78.28220465244391","78.28220465244391","78.28220465244391","14.54319098056891","14.54319098056891","14.54319098056891"
"11","92.03319060496794","92.03319060496794","92.03319060496794","90.91632549579327","90.91632549579327","90.91632549579327","88.177490234375","88.177490234375","88.177490234375","84.45019844250801","84.45019844250801","84.45019844250801","77.94752854567308","77.94752854567308","77.94752854567308","16.326121794871796","16.326121794871796","16.326121794871796"
"12","91.10780373597757","91.10780373597757","91.10780373597757","89.91871369190706","89.91871369190706","89.91871369190706","87.25382486979167","87.25382486979167","87.25382486979167","83.56213691907051","83.56213691907051","83.56213691907051","77.0599365234375","77.0599365234375","77.0599365234375","18.158897986778847","18.158897986778847","18.158897986778847"
"13","92.44721241486378","92.44721241486378","92.44721241486378","91.35796962640224","91.35796962640224","91.35796962640224","88.73150165264423","88.73150165264423","88.73150165264423","84.96414575821314","84.96414575821314","84.96414575821314","78.73942057291667","78.73942057291667","78.73942057291667","20.96526317107372","20.96526317107372","20.96526317107372"
"14","91.39114771133814","91.39114771133814","91.39114771133814","90.4030041816907","90.4030041816907","90.4030041816907","87.59593474559294","87.59593474559294","87.59593474559294","83.9973645332532","83.9973645332532","83.9973645332532","77.94134677984776","77.94134677984776","77.94134677984776","23.02864270332532","23.02864270332532","23.02864270332532"
"15","90.63634627904648","90.63634627904648","90.63634627904648","89.71549792167468","89.71549792167468","89.71549792167468","86.94857083834134","86.94857083834134","86.94857083834134","83.30469376001602","83.30469376001602","83.30469376001602","77.30720715645032","77.30720715645032","77.30720715645032","24.990688226161858","24.990688226161858","24.990688226161858"
"16","92.09884252303686","92.09884252303686","92.09884252303686","91.21805826822917","91.21805826822917","91.21805826822917","88.46693772536058","88.46693772536058","88.46693772536058","84.74974020933493","84.74974020933493","84.74974020933493","79.02174729567308","79.02174729567308","79.02174729567308","28.129225510817307","28.129225510817307","28.129225510817307"
"17","91.45664312900641","91.45664312900641","91.45664312900641","90.63399877303686","90.63399877303686","90.63399877303686","88.00807855068109","88.00807855068109","88.00807855068109","84.37867775941507","84.37867775941507","84.37867775941507","78.7280742938702","78.7280742938702","78.7280742938702","30.04901592548077","30.04901592548077","30.04901592548077"
"18","91.20804224258814","91.20804224258814","91.20804224258814","90.35558456029648","90.35558456029648","90.35558456029648","87.74742713341347","87.74742713341347","87.74742713341347","84.11740034054488","84.11740034054488","84.11740034054488","78.52759728064903","78.52759728064903","78.52759728064903","32.09072015224359","32.09072015224359","32.09072015224359"
"19","","","","91.51658278245192","91.51658278245192","91.51658278245192","89.08527080829327","89.08527080829327","89.08527080829327","85.69742838541667","85.69742838541667","85.69742838541667","80.11427659254808","80.11427659254808","80.11427659254808","35.071348532652245","35.071348532652245","35.071348532652245"
"20","","","","91.45766038161058","91.45766038161058","91.45766038161058","89.02885241386218","89.02885241386218","89.02885241386218","85.5334942157452","85.5334942157452","85.5334942157452","80.03680889423077","80.03680889423077","80.03680889423077","36.864451872996796","36.864451872996796","36.864451872996796"
"21","","","","91.96980794270833","91.96980794270833","91.96980794270833","89.62042392828526","89.62042392828526","89.62042392828526","86.0862536308093","86.0862536308093","86.0862536308093","80.84998497596153","80.84998497596153","80.84998497596153","39.05271872495994","39.05271872495994","39.05271872495994"
"22","","","","91.2426288311298","91.2426288311298","91.2426288311298","88.87955103165064","88.87955103165064","88.87955103165064","85.07643479567308","85.07643479567308","85.07643479567308","79.91286057692308","79.91286057692308","79.91286057692308","40.04602676782853","40.04602676782853","40.04602676782853"
"23","","","","90.77657063802083","90.77657063802083","90.77657063802083","88.35613544170673","88.35613544170673","88.35613544170673","84.85733423477564","84.85733423477564","84.85733423477564","79.67122395833333","79.67122395833333","79.67122395833333","41.35014460637019","41.35014460637019","41.35014460637019"
"24","","","","91.69053297776442","91.69053297776442","91.69053297776442","89.24458821614583","89.24458821614583","89.24458821614583","85.7490735176282","85.7490735176282","85.7490735176282","80.56139823717949","80.56139823717949","80.56139823717949","43.34693321814904","43.34693321814904","43.34693321814904"
"25","","","","90.77524038461539","90.77524038461539","90.77524038461539","88.3205316005609","88.3205316005609","88.3205316005609","84.83933668870192","84.83933668870192","84.83933668870192","79.84791291065706","79.84791291065706","79.84791291065706","44.455269055488785","44.455269055488785","44.455269055488785"
"26","","","","90.02716846955128","90.02716846955128","90.02716846955128","87.57652869591347","87.57652869591347","87.57652869591347","84.03985439202724","84.03985439202724","84.03985439202724","78.9764404296875","78.9764404296875","78.9764404296875","44.77304311899039","44.77304311899039","44.77304311899039"
"27","","","","91.24239408052884","91.24239408052884","91.24239408052884","88.96953876201923","88.96953876201923","88.96953876201923","85.39287860576923","85.39287860576923","85.39287860576923","80.46280298477564","80.46280298477564","80.46280298477564","47.21077160957532","47.21077160957532","47.21077160957532"
"28","","","","90.84879557291667","90.84879557291667","90.84879557291667","88.4468274238782","88.4468274238782","88.4468274238782","84.96985802283653","84.96985802283653","84.96985802283653","79.95699368990384","79.95699368990384","79.95699368990384","47.98161433293269","47.98161433293269","47.98161433293269"
"29","","","","91.39803372896634","91.39803372896634","91.39803372896634","88.95842723357372","88.95842723357372","88.95842723357372","85.65658178084936","85.65658178084936","85.65658178084936","80.90875087640224","80.90875087640224","80.90875087640224","49.929261818910255","49.929261818910255","49.929261818910255"
"30","","","","91.16484813201122","91.16484813201122","91.16484813201122","88.73197115384616","88.73197115384616","88.73197115384616","85.58451334635417","85.58451334635417","85.58451334635417","80.76790051582532","80.76790051582532","80.76790051582532","50.74455065604968","50.74455065604968","50.74455065604968"
"31","","","","92.11316230969551","92.11316230969551","92.11316230969551","90.08898612780449","90.08898612780449","90.08898612780449","86.80584247295673","86.80584247295673","86.80584247295673","81.92169971955128","81.92169971955128","81.92169971955128","52.83570900941506","52.83570900941506","52.83570900941506"
"32","","","","91.81870680588942","91.81870680588942","91.81870680588942","89.79586087740384","89.79586087740384","89.79586087740384","86.4742181239984","86.4742181239984","86.4742181239984","81.8119146885016","81.8119146885016","81.8119146885016","54.126759064503204","54.126759064503204","54.126759064503204"
"33","","","","90.54541954627403","90.54541954627403","90.54541954627403","88.38712252103366","88.38712252103366","88.38712252103366","85.06931402744391","85.06931402744391","85.06931402744391","80.30653733473558","80.30653733473558","80.30653733473558","54.140922350761215","54.140922350761215","54.140922350761215"
"34","","","","91.0160162510016","91.0160162510016","91.0160162510016","88.85372846554488","88.85372846554488","88.85372846554488","85.22010216346153","85.22010216346153","85.22010216346153","80.89990860376602","80.89990860376602","80.89990860376602","55.78746306590545","55.78746306590545","55.78746306590545"
"35","","","","91.03996081229968","91.03996081229968","91.03996081229968","88.9164068760016","88.9164068760016","88.9164068760016","85.42816944611378","85.42816944611378","85.42816944611378","80.86422651241988","80.86422651241988","80.86422651241988","56.99525490785256","56.99525490785256","56.99525490785256"
"36","","","","91.30037747896634","91.30037747896634","91.30037747896634","89.31704790164262","89.31704790164262","89.31704790164262","86.02913098457532","86.02913098457532","86.02913098457532","81.47027431390224","81.47027431390224","81.47027431390224","58.62974509214744","58.62974509214744","58.62974509214744"
"37","","","","90.80043694911859","90.80043694911859","90.80043694911859","88.6783697666266","88.6783697666266","88.6783697666266","85.2577405098157","85.2577405098157","85.2577405098157","80.59254181690706","80.59254181690706","80.59254181690706","58.94532815004006","58.94532815004006","58.94532815004006"
"38","","","","91.55727288661859","91.55727288661859","91.55727288661859","89.56517928685898","89.56517928685898","89.56517928685898","86.3731188651843","86.3731188651843","86.3731188651843","81.80056840945512","81.80056840945512","81.80056840945512","61.074046599559296","61.074046599559296","61.074046599559296"
"39","","","","91.88107221554488","91.88107221554488","91.88107221554488","89.99946789863782","89.99946789863782","89.99946789863782","86.78534092047276","86.78534092047276","86.78534092047276","82.26670485276442","82.26670485276442","82.26670485276442","62.36869616386218","62.36869616386218","62.36869616386218"
