"Step","legendary-universe-23 - epoch_time","legendary-universe-23 - epoch_time__MIN","legendary-universe-23 - epoch_time__MAX","different-salad-22 - epoch_time","different-salad-22 - epoch_time__MIN","different-salad-22 - epoch_time__MAX","elated-paper-21 - epoch_time","elated-paper-21 - epoch_time__MIN","elated-paper-21 - epoch_time__MAX","visionary-wave-5 - epoch_time","visionary-wave-5 - epoch_time__MIN","visionary-wave-5 - epoch_time__MAX","apricot-monkey-4 - epoch_time","apricot-monkey-4 - epoch_time__MIN","apricot-monkey-4 - epoch_time__MAX"
"10","93.25003147125244","93.25003147125244","93.25003147125244","93.50379538536072","93.50379538536072","93.50379538536072","308.3275225162506","308.3275225162506","308.3275225162506","294.8600163459778","294.8600163459778","294.8600163459778","299.54758071899414","299.54758071899414","299.54758071899414"
"11","92.43670558929443","92.43670558929443","92.43670558929443","92.26301074028015","92.26301074028015","92.26301074028015","314.1526517868042","314.1526517868042","314.1526517868042","307.64108443260193","307.64108443260193","307.64108443260193","310.2656366825104","310.2656366825104","310.2656366825104"
"12","95.04505658149719","95.04505658149719","95.04505658149719","94.24104070663452","94.24104070663452","94.24104070663452","308.3169779777527","308.3169779777527","308.3169779777527","308.1978967189789","308.1978967189789","308.1978967189789","307.5844225883484","307.5844225883484","307.5844225883484"
"13","92.30410528182983","92.30410528182983","92.30410528182983","92.31351351737976","92.31351351737976","92.31351351737976","307.8979070186615","307.8979070186615","307.8979070186615","308.0725359916687","308.0725359916687","308.0725359916687","312.12282538414","312.12282538414","312.12282538414"
"14","92.56031036376953","92.56031036376953","92.56031036376953","92.52628827095032","92.52628827095032","92.52628827095032","","","","304.4420702457428","304.4420702457428","304.4420702457428","403.6487467288971","403.6487467288971","403.6487467288971"
"15","94.0974760055542","94.0974760055542","94.0974760055542","94.50929546356201","94.50929546356201","94.50929546356201","","","","311.698974609375","311.698974609375","311.698974609375","350.244140625","350.244140625","350.244140625"
"16","92.31901168823242","92.31901168823242","92.31901168823242","92.16483497619629","92.16483497619629","92.16483497619629","","","","302.8748252391815","302.8748252391815","302.8748252391815","331.9435873031616","331.9435873031616","331.9435873031616"
"17","94.12732648849487","94.12732648849487","94.12732648849487","92.00207686424255","92.00207686424255","92.00207686424255","","","","305.736613035202","305.736613035202","305.736613035202","341.0749177932739","341.0749177932739","341.0749177932739"
"18","92.28126168251038","92.28126168251038","92.28126168251038","95.00514721870422","95.00514721870422","95.00514721870422","","","","305.37817907333374","305.37817907333374","305.37817907333374","413.7441520690918","413.7441520690918","413.7441520690918"
"19","92.44384813308716","92.44384813308716","92.44384813308716","92.201345205307","92.201345205307","92.201345205307","","","","317.05009055137634","317.05009055137634","317.05009055137634","308.7921230792999","308.7921230792999","308.7921230792999"
"20","100.20955109596252","100.20955109596252","100.20955109596252","93.93690061569214","93.93690061569214","93.93690061569214","","","","302.2743926048279","302.2743926048279","302.2743926048279","317.3613154888153","317.3613154888153","317.3613154888153"
"21","92.08689999580383","92.08689999580383","92.08689999580383","91.98447871208191","91.98447871208191","91.98447871208191","","","","316.0177597999573","316.0177597999573","316.0177597999573","299.55510234832764","299.55510234832764","299.55510234832764"
"22","92.37789988517761","92.37789988517761","92.37789988517761","92.22899770736694","92.22899770736694","92.22899770736694","","","","310.7685110569","310.7685110569","310.7685110569","316.24181175231934","316.24181175231934","316.24181175231934"
"23","92.13008332252502","92.13008332252502","92.13008332252502","91.9974455833435","91.9974455833435","91.9974455833435","","","","303.40110421180725","303.40110421180725","303.40110421180725","308.30705070495605","308.30705070495605","308.30705070495605"
"24","92.29023313522339","92.29023313522339","92.29023313522339","92.2204704284668","92.2204704284668","92.2204704284668","","","","302.5250470638275","302.5250470638275","302.5250470638275","296.5984721183777","296.5984721183777","296.5984721183777"
"25","95.41142177581787","95.41142177581787","95.41142177581787","94.1588020324707","94.1588020324707","94.1588020324707","","","","295.91101598739624","295.91101598739624","295.91101598739624","308.8468418121338","308.8468418121338","308.8468418121338"
"26","92.05462527275085","92.05462527275085","92.05462527275085","94.93920826911926","94.93920826911926","94.93920826911926","","","","307.2891800403595","307.2891800403595","307.2891800403595","311.8760633468628","311.8760633468628","311.8760633468628"
"27","95.19720911979675","95.19720911979675","95.19720911979675","92.07702875137329","92.07702875137329","92.07702875137329","","","","312.3532111644745","312.3532111644745","312.3532111644745","302.46226596832275","302.46226596832275","302.46226596832275"
"28","92.08047580718994","92.08047580718994","92.08047580718994","93.00212383270264","93.00212383270264","93.00212383270264","","","","305.596120595932","305.596120595932","305.596120595932","302.5545320510864","302.5545320510864","302.5545320510864"
"29","92.19485282897949","92.19485282897949","92.19485282897949","92.26935958862305","92.26935958862305","92.26935958862305","","","","312.66253542900085","312.66253542900085","312.66253542900085","295.2759017944336","295.2759017944336","295.2759017944336"
"30","91.87845134735107","91.87845134735107","91.87845134735107","92.02239918708801","92.02239918708801","92.02239918708801","","","","298.81041979789734","298.81041979789734","298.81041979789734","297.80085277557373","297.80085277557373","297.80085277557373"
"31","95.55869555473328","95.55869555473328","95.55869555473328","95.5508644580841","95.5508644580841","95.5508644580841","","","","303.9660792350769","303.9660792350769","303.9660792350769","302.55115127563477","302.55115127563477","302.55115127563477"
"32","91.9895613193512","91.9895613193512","91.9895613193512","92.10438466072083","92.10438466072083","92.10438466072083","","","","305.8091154098511","305.8091154098511","305.8091154098511","308.9421007633209","308.9421007633209","308.9421007633209"
"33","92.1264500617981","92.1264500617981","92.1264500617981","91.98296117782593","91.98296117782593","91.98296117782593","","","","309.1853120326996","309.1853120326996","309.1853120326996","","",""
"34","92.14287972450256","92.14287972450256","92.14287972450256","92.14808964729309","92.14808964729309","92.14808964729309","","","","","","","","",""
"35","91.90938019752502","91.90938019752502","91.90938019752502","91.97143578529358","91.97143578529358","91.97143578529358","","","","","","","","",""
"36","95.39100122451782","95.39100122451782","95.39100122451782","95.59647178649902","95.59647178649902","95.59647178649902","","","","","","","","",""
"37","92.00413680076599","92.00413680076599","92.00413680076599","91.92717289924622","91.92717289924622","91.92717289924622","","","","","","","","",""
"38","92.11227011680603","92.11227011680603","92.11227011680603","92.08928799629211","92.08928799629211","92.08928799629211","","","","","","","","",""
"39","92.17974662780762","92.17974662780762","92.17974662780762","92.2785165309906","92.2785165309906","92.2785165309906","","","","","","","","",""
"40","91.74947357177734","91.74947357177734","91.74947357177734","91.80721783638","91.80721783638","91.80721783638","","","","","","","","",""
"41","95.66167855262756","95.66167855262756","95.66167855262756","91.98283100128174","91.98283100128174","91.98283100128174","","","","","","","","",""
"42","93.04735016822815","93.04735016822815","93.04735016822815","97.29340362548828","97.29340362548828","97.29340362548828","","","","","","","","",""
"43","92.05795311927795","92.05795311927795","92.05795311927795","91.94943332672119","91.94943332672119","91.94943332672119","","","","","","","","",""
"44","92.13426661491394","92.13426661491394","92.13426661491394","92.40751767158508","92.40751767158508","92.40751767158508","","","","","","","","",""
"45","91.73129200935364","91.73129200935364","91.73129200935364","91.81146383285522","91.81146383285522","91.81146383285522","","","","","","","","",""
"46","91.99357843399048","91.99357843399048","91.99357843399048","91.93772530555725","91.93772530555725","91.93772530555725","","","","","","","","",""
"47","95.23997497558594","95.23997497558594","95.23997497558594","97.13370656967163","97.13370656967163","97.13370656967163","","","","","","","","",""
"48","91.98315739631653","91.98315739631653","91.98315739631653","92.55311131477356","92.55311131477356","92.55311131477356","","","","","","","","",""
"49","92.1330668926239","92.1330668926239","92.1330668926239","92.0383517742157","92.0383517742157","92.0383517742157","","","","","","","","",""
"50","91.89772152900696","91.89772152900696","91.89772152900696","91.68825125694275","91.68825125694275","91.68825125694275","","","","","","","","",""
"51","91.97330808639526","91.97330808639526","91.97330808639526","92.25894570350647","92.25894570350647","92.25894570350647","","","","","","","","",""
"52","95.20738387107849","95.20738387107849","95.20738387107849","94.42450499534607","94.42450499534607","94.42450499534607","","","","","","","","",""
"53","92.25357031822205","92.25357031822205","92.25357031822205","93.09941816329956","93.09941816329956","93.09941816329956","","","","","","","","",""
"54","92.35622787475586","92.35622787475586","92.35622787475586","92.28222608566284","92.28222608566284","92.28222608566284","","","","","","","","",""
"55","91.761465549469","91.761465549469","91.761465549469","91.91586256027222","91.91586256027222","91.91586256027222","","","","","","","","",""
"56","91.97819304466248","91.97819304466248","91.97819304466248","91.96716666221619","91.96716666221619","91.96716666221619","","","","","","","","",""
"57","92.35698461532593","92.35698461532593","92.35698461532593","92.11890172958374","92.11890172958374","92.11890172958374","","","","","","","","",""
"58","94.69483733177185","94.69483733177185","94.69483733177185","95.87582278251648","95.87582278251648","95.87582278251648","","","","","","","","",""
"59","92.13177299499512","92.13177299499512","92.13177299499512","92.17264914512634","92.17264914512634","92.17264914512634","","","","","","","","",""
"60","91.76547932624817","91.76547932624817","91.76547932624817","91.80042028427124","91.80042028427124","91.80042028427124","","","","","","","","",""
"61","92.22796702384949","92.22796702384949","92.22796702384949","91.97385621070862","91.97385621070862","91.97385621070862","","","","","","","","",""
"62","91.92758345603943","91.92758345603943","91.92758345603943","92.07943415641785","92.07943415641785","92.07943415641785","","","","","","","","",""
"63","95.29741525650024","95.29741525650024","95.29741525650024","96.34442782402039","96.34442782402039","96.34442782402039","","","","","","","","",""
"64","","","","92.17874932289124","92.17874932289124","92.17874932289124","","","","","","","","",""
"65","","","","91.74864935874939","91.74864935874939","91.74864935874939","","","","","","","","",""
"66","","","","91.96770811080933","91.96770811080933","91.96770811080933","","","","","","","","",""
"67","","","","92.067617893219","92.067617893219","92.067617893219","","","","","","","","",""
"68","","","","92.63142418861389","92.63142418861389","92.63142418861389","","","","","","","","",""
"69","","","","95.72261047363281","95.72261047363281","95.72261047363281","","","","","","","","",""
"70","","","","92.07242846488953","92.07242846488953","92.07242846488953","","","","","","","","",""
"71","","","","91.8849573135376","91.8849573135376","91.8849573135376","","","","","","","","",""
"72","","","","91.89825201034546","91.89825201034546","91.89825201034546","","","","","","","","",""
"73","","","","92.14056205749512","92.14056205749512","92.14056205749512","","","","","","","","",""
"74","","","","96.7058801651001","96.7058801651001","96.7058801651001","","","","","","","","",""
"75","","","","91.91502094268799","91.91502094268799","91.91502094268799","","","","","","","","",""
"76","","","","92.32515668869019","92.32515668869019","92.32515668869019","","","","","","","","",""
"77","","","","91.94699311256409","91.94699311256409","91.94699311256409","","","","","","","","",""
"78","","","","91.9078197479248","91.9078197479248","91.9078197479248","","","","","","","","",""
"79","","","","97.47681450843811","97.47681450843811","97.47681450843811","","","","","","","","",""
"80","","","","91.9900975227356","91.9900975227356","91.9900975227356","","","","","","","","",""
"81","","","","92.09262204170227","92.09262204170227","92.09262204170227","","","","","","","","",""
"82","","","","91.94235825538635","91.94235825538635","91.94235825538635","","","","","","","","",""
"83","","","","92.18503165245056","92.18503165245056","92.18503165245056","","","","","","","","",""
"84","","","","92.6790041923523","92.6790041923523","92.6790041923523","","","","","","","","",""
"85","","","","99.87620043754578","99.87620043754578","99.87620043754578","","","","","","","","",""
"86","","","","91.99951672554016","91.99951672554016","91.99951672554016","","","","","","","","",""
"87","","","","91.91973519325256","91.91973519325256","91.91973519325256","","","","","","","","",""
"88","","","","91.98195767402649","91.98195767402649","91.98195767402649","","","","","","","","",""
"89","","","","91.94492959976196","91.94492959976196","91.94492959976196","","","","","","","","",""
"90","","","","97.11067652702332","97.11067652702332","97.11067652702332","","","","","","","","",""
"91","","","","92.17431497573853","92.17431497573853","92.17431497573853","","","","","","","","",""
"92","","","","96.01634478569031","96.01634478569031","96.01634478569031","","","","","","","","",""
"93","","","","91.88129711151123","91.88129711151123","91.88129711151123","","","","","","","","",""
"94","","","","92.18413591384888","92.18413591384888","92.18413591384888","","","","","","","","",""
"95","","","","96.52208232879639","96.52208232879639","96.52208232879639","","","","","","","","",""
"96","","","","92.52536964416504","92.52536964416504","92.52536964416504","","","","","","","","",""
"97","","","","91.88525867462158","91.88525867462158","91.88525867462158","","","","","","","","",""
"98","","","","92.1064829826355","92.1064829826355","92.1064829826355","","","","","","","","",""
"99","","","","91.97467231750488","91.97467231750488","91.97467231750488","","","","","","","","",""
"100","","","","91.76895356178284","91.76895356178284","91.76895356178284","","","","","","","","",""
"101","","","","97.15663981437683","97.15663981437683","97.15663981437683","","","","","","","","",""
"102","","","","91.98800730705261","91.98800730705261","91.98800730705261","","","","","","","","",""
"103","","","","92.00518226623535","92.00518226623535","92.00518226623535","","","","","","","","",""
"104","","","","94.76285672187805","94.76285672187805","94.76285672187805","","","","","","","","",""
"105","","","","91.94443607330322","91.94443607330322","91.94443607330322","","","","","","","","",""
"106","","","","99.90894412994385","99.90894412994385","99.90894412994385","","","","","","","","",""
"107","","","","92.00393605232239","92.00393605232239","92.00393605232239","","","","","","","","",""
"108","","","","92.12599873542786","92.12599873542786","92.12599873542786","","","","","","","","",""
"109","","","","92.01002025604248","92.01002025604248","92.01002025604248","","","","","","","","",""
