"Step","legendary-universe-23 - train-top1-acc","legendary-universe-23 - train-top1-acc__MIN","legendary-universe-23 - train-top1-acc__MAX","different-salad-22 - train-top1-acc","different-salad-22 - train-top1-acc__MIN","different-salad-22 - train-top1-acc__MAX","elated-paper-21 - train-top1-acc","elated-paper-21 - train-top1-acc__MIN","elated-paper-21 - train-top1-acc__MAX","visionary-wave-5 - train-top1-acc","visionary-wave-5 - train-top1-acc__MIN","visionary-wave-5 - train-top1-acc__MAX","apricot-monkey-4 - train-top1-acc","apricot-monkey-4 - train-top1-acc__MIN","apricot-monkey-4 - train-top1-acc__MAX"
"0","87.00592823517628","87.00592823517628","87.00592823517628","84.48736728766026","84.48736728766026","84.48736728766026","83.59265449719551","83.59265449719551","83.59265449719551","80.54042718349359","80.54042718349359","80.54042718349359","71.69525928986378","71.69525928986378","71.69525928986378"
"1","86.82869153145032","86.82869153145032","86.82869153145032","84.31811210436699","84.31811210436699","84.31811210436699","83.43028533153044","83.43028533153044","83.43028533153044","80.47070625500801","80.47070625500801","80.47070625500801","71.92108936798878","71.92108936798878","71.92108936798878"
"2","85.49522986778847","85.49522986778847","85.49522986778847","83.05163261217949","83.05163261217949","83.05163261217949","82.1201422275641","82.1201422275641","82.1201422275641","79.06298515124199","79.06298515124199","79.06298515124199","71.18976299579327","71.18976299579327","71.18976299579327"
"3","85.46173878205128","85.46173878205128","85.46173878205128","82.88683769030449","82.88683769030449","82.88683769030449","82.01153094951923","82.01153094951923","82.01153094951923","79.08990322015224","79.08990322015224","79.08990322015224","71.34344638922276","71.34344638922276","71.34344638922276"
"4","85.99376189403044","85.99376189403044","85.99376189403044","83.48975548377403","83.48975548377403","83.48975548377403","82.6892559344952","82.6892559344952","82.6892559344952","79.82475085136218","79.82475085136218","79.82475085136218","72.53065842848558","72.53065842848558","72.53065842848558"
"5","85.4076678936298","85.4076678936298","85.4076678936298","82.92032877604167","82.92032877604167","82.92032877604167","82.17444786658653","82.17444786658653","82.17444786658653","79.33490459735577","79.33490459735577","79.33490459735577","72.36703725961539","72.36703725961539","72.36703725961539"
"6","87.21649952423878","87.21649952423878","87.21649952423878","84.79809883313301","84.79809883313301","84.79809883313301","84.12960737179488","84.12960737179488","84.12960737179488","81.24780899439102","81.24780899439102","81.24780899439102","74.63198930789262","74.63198930789262","74.63198930789262"
"7","87.28152544070512","87.28152544070512","87.28152544070512","84.8461444561298","84.8461444561298","84.8461444561298","84.27116198417468","84.27116198417468","84.27116198417468","81.41080416165866","81.41080416165866","81.41080416165866","75.07449419070512","75.07449419070512","75.07449419070512"
"8","87.17510516826923","87.17510516826923","87.17510516826923","84.65826572516026","84.65826572516026","84.65826572516026","84.28125626001602","84.28125626001602","84.28125626001602","81.4129169170673","81.4129169170673","81.4129169170673","75.24461012620192","75.24461012620192","75.24461012620192"
"9","86.87978891225961","86.87978891225961","86.87978891225961","84.45583245693109","84.45583245693109","84.45583245693109","83.9847662510016","83.9847662510016","83.9847662510016","81.2884990985577","81.2884990985577","81.2884990985577","75.4192645733173","75.4192645733173","75.4192645733173"
"10","87.78130947015224","87.78130947015224","87.78130947015224","85.40868514623398","85.40868514623398","85.40868514623398","85.04302196013622","85.04302196013622","85.04302196013622","82.29706593048878","82.29706593048878","82.29706593048878","76.66860727163461","76.66860727163461","76.66860727163461"
